nct_id,condition_preferred,mesh_broad,mesh_broad_label
NCT00863304,Osteoarthritis,C05.550.114,Arthritis
NCT00911534,Gastroesophageal Reflux,C06.405.117,Esophageal Diseases
NCT00923091,Hypertension,C14.907.489,Hypertension
NCT00957047,Epilepsy,C10.228.140.490,Epilepsy
NCT00968708,Acute Coronary Syndrome,C14.280.647X,"Myocardial Ischemia, acute"
NCT00968708,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01034137,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT01045447,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01053988,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01059773,Psoriasis,C17.800.859.675,Psoriasis
NCT01070784,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01094457,Acute Coronary Syndrome,C14.280.647X,"Myocardial Ischemia, acute"
NCT01134042,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT01147848,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT01206972,Venous Thromboembolism,C14.907.355,Embolism and Thrombosis
NCT01218100,Hypertension,C14.907.489,Hypertension
NCT01257451,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01346865,Coronary Artery Disease,C14.280.647Y,Myocardial Ischemia
NCT01350804,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT01358175,"Spondylitis, Ankylosing",C05.550.114,Arthritis
NCT01368081,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01371994,Urinary Incontinence,C23.888.942.343.800,Urinary Incontinence
NCT01396395,Angina Pectoris,C14.280.647Y,"Myocardial Ischemia, chronic"
NCT01422434,Psoriasis,C17.800.859.675,Psoriasis
NCT01437995,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT01455129,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01493557,Atrial Fibrillation,C14.280.067,"Arrhythmias, Cardiac"
NCT01541943,Hypertension,C14.907.489,Hypertension
NCT01627327,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01638000,"Urinary Bladder, Overactive",C23.888.942.343.780,"Urinary Bladder, Overactive"
NCT01644175,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT01694771,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01707134,"Diabetes Mellitus, Type 1",C18.452.394.750.124,"Diabetes Mellitus, Type 1"
NCT01885208,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01917656,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01970488,Psoriasis,C17.800.859.675,Psoriasis
NCT01989754,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT02098395,"Diabetes Mellitus, Type 1",C18.452.394.750.124,"Diabetes Mellitus, Type 1"
NCT02240680,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT02343458,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT02390375,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT02467452,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT02471404,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT02546323,Atherosclerosis,C14.907.137.126.307,Atherosclerosis
NCT02648204,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT02739984,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT02863328,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT03015220,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00007683,Heart Failure,C14.280.434,Heart Failure
NCT00047424,Hypertension,C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00047424,Diabetes Mellitus,C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00047424,Atherosclerosis,C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00048425,Heart Failure,C14.280.434,Heart Failure
NCT00048568,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00062556,Intermittent Claudication,C14.907.137.126.669,Intermittent Claudication
NCT00069784,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00082381,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00092157,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT00094302,Heart Failure,C14.280.434,Heart Failure
NCT00095238,Heart Failure,C14.280.434,Heart Failure
NCT00099216,"Dementia, Vascular",C10.228.140.380,Dementia
NCT00102765,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00106132,Retinal Vein Occlusion,C14.907.355,Embolism and Thrombosis
NCT00123903,Heart Failure,C14.280.434,Heart Failure
NCT00130039,Atherosclerosis,C14.907.137.126.307,Atherosclerosis
NCT00130039,Cerebral Infarction,C14.907.253.855,Stroke
NCT00134147,Diabetes Mellitus,C18.452.394.750,Diabetes Mellitus
NCT00134979,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00145301,Osteoarthritis,C05.550.114,Arthritis
NCT00153023,Hypertension,C14.907.489,Hypertension
NCT00153023,Diabetic Nephropathies,C19.246.099.875,Diabetic Nephropathies
NCT00154219,Osteoarthritis,C05.550.114,Arthritis
NCT00163319,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00185133,Hypertension,C14.907.489,Hypertension
NCT00185159,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00203580,Venous Thrombosis,C14.907.355,Embolism and Thrombosis
NCT00203580,Thromboembolism,C14.907.355,Embolism and Thrombosis
NCT00219154,Hypertension,C14.907.489,Hypertension
NCT00239408,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00242606,Epilepsy,C10.228.140.490,Epilepsy
NCT00250445,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00250445,Osteoarthritis,C05.550.114,Arthritis
NCT00264901,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00267969,Psoriasis,C17.800.859.675,Psoriasis
NCT00268697,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT00286442,Diabetes Mellitus,C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00286455,Diabetes Mellitus,C18.452.394.750,Diabetes Mellitus
NCT00290030,Prostatic Hyperplasia,C12.294.565.500,Prostatic Hyperplasia
NCT00296218,Hypertension,C14.907.489,Hypertension
NCT00312013,Venous Thrombosis,C14.907.355,Embolism and Thrombosis
NCT00329225,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00331149,Parkinson Disease,C10.574.812,Parkinson Disease
NCT00333112,Urinary Incontinence,C23.888.942.343.800,Urinary Incontinence
NCT00350168,Hypertension,C14.907.489,Hypertension
NCT00354458,Heart Failure,C14.280.434,Heart Failure
NCT00355667,Heart Failure,C14.280.434,Heart Failure
NCT00361335,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00379067,Prostatic Hyperplasia,C12.294.565.500,Prostatic Hyperplasia
NCT00383552,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00385593,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00385736,"Colitis, Ulcerative",C06.405.469.432,Inflammatory Bowel Diseases
NCT00390728,"Diabetes Mellitus, Type 1",C18.452.394.750.124,"Diabetes Mellitus, Type 1"
NCT00392002,Gastroesophageal Reflux,C06.405.117,Esophageal Diseases
NCT00398606,Osteoporosis,C05.116.198.579,Osteoporosis
NCT00408512,Hypertension,C14.907.489,Hypertension
NCT00439725,Venous Thromboembolism,C14.907.355,Embolism and Thrombosis
NCT00440193,Venous Thrombosis,C14.907.355,Embolism and Thrombosis
NCT00449605,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00463567,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00472199,Restless Legs Syndrome,C10.803,Restless Legs Syndrome
NCT00487240,"Diabetes Mellitus, Type 1",C18.452.394.750.124,"Diabetes Mellitus, Type 1"
NCT00504881,Epilepsy,C10.228.140.490,Epilepsy
NCT00513630,Coronary Artery Disease,C14.280.647Y,Myocardial Ischemia
NCT00519142,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00558064,Hypertension,C14.907.489,Hypertension
NCT00563381,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00624286,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00630929,Osteoarthritis,C05.550.114,Arthritis
NCT00634114,Esophagitis,C06.405.117,Esophageal Diseases
NCT00665431,Osteoarthritis,C05.550.114,Arthritis
NCT00688688,"Urinary Bladder, Overactive",C23.888.942.343.780,"Urinary Bladder, Overactive"
NCT00696384,Hypertension,C14.907.489,Hypertension
NCT00700856,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00755287,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00760266,Hypertension,C14.907.489,Hypertension
NCT00763815,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00781391,Embolism,C14.907.355,Embolism and Thrombosis
NCT00781391,Atrial Fibrillation,C14.280.067,"Arrhythmias, Cardiac"
NCT00781391,Stroke,C14.907.253.855,Stroke
NCT00783263,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT00793624,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00798161,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00801944,"Urinary Bladder, Overactive",C23.888.942.343.780,"Urinary Bladder, Overactive"
NCT00860262,Hypertension,C14.907.489,Hypertension
NCT00891462,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00902304,Hypertension,C14.907.489,Hypertension
NCT00927394,Hypertension,C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00971165,Hypertension,C14.907.489,Hypertension
NCT01066676,Osteoarthritis,C05.550.114,Arthritis
NCT01072448,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01075698,Hypertension,C14.907.489,Hypertension
NCT01130025,Venous Thromboembolism,C14.907.355,Embolism and Thrombosis
NCT01191268,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01281787,Atrial Fibrillation,C14.280.067,"Arrhythmias, Cardiac"
NCT01289119,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01316380,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT01316887,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01364220,Stroke,C14.907.253.855,Stroke
NCT01381900,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01444430,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT01445951,"Diabetes Mellitus, Type 1",C18.452.394.750.124,"Diabetes Mellitus, Type 1"
NCT01472185,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01475721,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT01475825,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT01477983,Atrial Fibrillation,C14.280.067,"Arrhythmias, Cardiac"
NCT01494532,Parkinson Disease,C10.574.812,Parkinson Disease
NCT01543555,Myocardial Infarction,C14.280.647X,"Myocardial Ischemia, acute"
NCT01558271,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01583218,Venous Thromboembolism,C14.907.355,Embolism and Thrombosis
NCT01604343,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT01706328,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01709305,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01729754,Psoriasis,C17.800.859.675,Psoriasis
NCT01836523,"Diabetes Mellitus, Type 1",C18.452.394.750.124,"Diabetes Mellitus, Type 1"
NCT01866163,Psoriasis,C17.800.859.675,Psoriasis
NCT01926782,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT01958671,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT02181985,Myocardial Infarction,C14.280.647X,"Myocardial Ischemia, acute"
NCT02203916,Hypertension,C14.907.489,Hypertension
NCT02236611,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT02616497,Thrombosis,C14.907.355,Embolism and Thrombosis
NCT02709538,Rhinitis,C08.460.799,Rhinitis
NCT02791490,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT03049085,Coronary Artery Disease,C14.280.647Y,Myocardial Ischemia
NCT00029822,Prostatic Hyperplasia,C12.294.565.500,Prostatic Hyperplasia
NCT00064389,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00085644,"Spondylitis, Ankylosing",C05.550.114,Arthritis
NCT00089791,Osteoporosis,C05.116.198.579,Osteoporosis
NCT00092040,Osteoporosis,C05.116.198.579,Osteoporosis
NCT00092079,Osteoporosis,C05.116.198.579,Osteoporosis
NCT00092560,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT00092664,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT00092742,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00093912,Hypertension,C14.907.489,Hypertension
NCT00099905,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00109668,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00147654,Urinary Incontinence,C23.888.942.343.800,Urinary Incontinence
NCT00163241,Osteoarthritis,C05.550.114,Arthritis
NCT00168805,Thromboembolism,C14.907.355,Embolism and Thrombosis
NCT00171366,Hypertension,C14.907.489,Hypertension
NCT00174642,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00174733,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00200460,Hypertension,C14.907.489,Hypertension
NCT00213135,Multiple Sclerosis,C10.314.350.500,Multiple Sclerosis
NCT00219167,Hypertension,C14.907.489,Hypertension
NCT00227318,Hypertension,C14.907.489,Hypertension
NCT00234065,Cerebral Infarction,C14.907.253.855,Stroke
NCT00235755,Seizures,C10.228.140.490,Epilepsy
NCT00239421,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00242307,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00251706,Atrial Fibrillation,C14.280.067,"Arrhythmias, Cardiac"
NCT00251758,Gastroesophageal Reflux,C06.405.117,Esophageal Diseases
NCT00256139,Psoriasis,C17.800.859.675,Psoriasis
NCT00272454,Cerebral Infarction,C14.907.253.855,Stroke
NCT00277472,Hypertension,C14.907.489,Hypertension
NCT00280046,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00280059,Epilepsy,C10.228.140.490,Epilepsy
NCT00280540,Hypertension,C14.907.489,Hypertension
NCT00286429,Diabetes Mellitus,C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00290264,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00299546,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00303459,"Hypertension, Pulmonary",C08.381.423,"Hypertension, Pulmonary"
NCT00313001,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00318461,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00329628,Venous Thromboembolism,C14.907.355,Embolism and Thrombosis
NCT00333151,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00387088,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00391872,Acute Coronary Syndrome,C14.280.647X,"Myocardial Ischemia, acute"
NCT00410384,"Lupus Erythematosus, Systemic",C20.111.590,"Lupus Erythematosus, Systemic"
NCT00413413,Hypertension,C14.907.489,Hypertension
NCT00434954,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00489424,Osteoporosis,C05.116.198.579,Osteoporosis
NCT00501020,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00509262,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00540891,Prostatic Hyperplasia,C12.294.565.500,Prostatic Hyperplasia
NCT00542789,Osteoarthritis,C05.550.114,Arthritis
NCT00542789,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00557921,Coronary Artery Disease,C14.280.647Y,Myocardial Ischemia
NCT00557921,Myocardial Infarction,C14.280.647X,"Myocardial Ischemia, acute"
NCT00557921,Acute Coronary Syndrome,C14.280.647X,"Myocardial Ischemia, acute"
NCT00562952,Coronary Artery Disease,C14.280.647Y,Myocardial Ischemia
NCT00562952,Heart Failure,C14.280.434,Heart Failure
NCT00562952,Diabetes Mellitus,C18.452.394.750,Diabetes Mellitus
NCT00570739,Hypercholesterolemia,C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00570739,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00622284,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00646542,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00647491,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00659503,Rhinitis,C08.460.799,Rhinitis
NCT00678704,Diabetes Mellitus,C18.452.394.750,Diabetes Mellitus
NCT00689104,"Urinary Bladder, Overactive",C23.888.942.343.780,"Urinary Bladder, Overactive"
NCT00712673,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00713830,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00720382,Rhinitis,C08.460.799,Rhinitis
NCT00729430,Myocardial Infarction,C14.280.647X,"Myocardial Ischemia, acute"
NCT00778921,Hypertension,C14.907.489,Hypertension
NCT00784550,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00789737,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00798434,"Urinary Bladder, Overactive",C23.888.942.343.780,"Urinary Bladder, Overactive"
NCT00839527,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00841672,Hypertension,C14.907.489,Hypertension
NCT00863707,Coronary Artery Disease,C14.280.647Y,Myocardial Ischemia
NCT00901368,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00920543,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00957060,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00977938,Coronary Artery Disease,C14.280.647Y,Myocardial Ischemia
NCT01006291,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01106625,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01131676,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01144338,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01154166,Parkinson Disease,C10.574.812,Parkinson Disease
NCT01169779,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01172821,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT01216072,Multiple Sclerosis,C10.314.350.500,Multiple Sclerosis
NCT01232569,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT01316913,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01336608,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01342913,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01356602,"Arthritis, Gouty",C05.550.114,Arthritis
NCT01358578,Psoriasis,C17.800.859.675,Psoriasis
NCT01365455,Psoriasis,C17.800.859.675,Psoriasis
NCT01425853,Osteoarthritis,C05.550.114,Arthritis
NCT01512108,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01518855,Hypertension,C14.907.489,Hypertension
NCT01583374,"Spondylitis, Ankylosing",C05.550.114,Arthritis
NCT01687283,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT01854645,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01868061,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT01986881,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT02008682,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT02009865,Hyperlipidemias,C18.452.584.500.500,Hyperlipidemias
NCT02082769,Gout,C05.550.114,Arthritis
NCT02132767,Atrial Fibrillation,C14.280.067,"Arrhythmias, Cardiac"
NCT02200640,Hypertension,C14.907.489,Hypertension
NCT02308163,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT02452190,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT02473198,Osteoarthritis,C05.550.114,Arthritis
