txt_id,text
112,"Findings in subgroups defined by en-try criteria or definite treatment were consistent with the main study re-sults. We found no significant effect on our primary end point when compar-ing prolonged antithrombotic pretreat-ment vs early intervention, either in pa-tients with elevated levels of cardiac troponin T (OR, 1.65 [95% CI, 0.75-3.64]) or in those with ST-segment depression"
91,"Consistency of treatment effect was measured acrosspre-specified subgroups of gender, age, race, joint, ACRfunctional class and tertiles of patient global assessmentof disease status. There were no significant qualitativetreatment-by-subgroup interactions indicatingconsistency of treatment effect across these subgroups."
90,"Consistency of treatment effect was measured across pre-specified subgroups of gender, age, race, joint, ACR functional class and tertiles of patient global assessment of disease status. There were no significant qualitative treatment-by-subgroup interactions indicating consistency of treatment effect across these subgroups."
160,"No benefit in terms of the primary end point was observed among patients assigned totrandolapril in any subgroup defined according to age; sex; race; the presence or absence of ahistory of myocardial infarction or of a previous revascularization procedure; the presence orabsence of diabetes; the serum cholesterol or creatinine concentration; left ventricular function;or the baseline use of diuretic agents, digitalis, aspirin or antiplatelet medication, beta-blockers,calcium-channel blockers, or lipid-lowering drugs. A slight benefit was observed amongpatients in the trandolapril group in whom the systolic pressure before the run-in phase wasless than 140 mm Hg and the diastolic pressure less than 90 mm Hg (hazard ratio as comparedwith placebo, 0.88; 95 percent confidence interval, 0.78 to 0.99); no benefit was observed among patients in whom the systolic pressure before the run-in phase was 140 mm Hg or higheror the diastolic pressure 90 mm Hg or higher (hazard ratio as compared with placebo, 1.09; 95percent confidence interval, 0.94 to 1.25; P=0.02 by a test for interaction). When data for allthe patients who received an open-label ACE inhibitor were censored, the hazard ratio for theprimary end point in the trandolapril group was 0.95 (95 percent confidence interval, 0.89 to1.02; P=0.16). The results did not change when data from patients with diabetes were censoredat the time they began receiving ACE inhibitors on an open-label basis."
159,"No benefit in terms of the primary end point was observed among patients assigned to trandolapril in any subgroup defined according to age; sex; race; the presence or absence of a history of myocardial infarction or of a previous revascularization procedure; the presence or absence of diabetes; the serum cholesterol or creatinine concentration; left ventricular function; or the baseline use of diuretic agents, digitalis, aspirin or antiplatelet medication, beta-blockers, calcium-channel blockers, or lipid-lowering drugs. A slight benefit was observed among patients in the trandolapril group in whom the systolic pressure before the run-in phase was less than 140 mm Hg and the diastolic pressure less than 90 mm Hg (hazard ratio as compared with placebo, 0.88; 95 percent confidence interval, 0.78 to 0.99); no benefit was observed among patients in whom the systolic pressure before the run-in phase was 140 mm Hg or higher or the diastolic pressure 90 mm Hg or higher (hazard ratio as compared with placebo, 1.09; 95 percent confidence interval, 0.94 to 1.25; P=0.02 by a test for interaction). When data for all the patients who received an open-label ACE inhibitor were censored, the hazard ratio for the primary end point in the trandolapril group was 0.95 (95 percent confidence interval, 0.89 to 1.02; P=0.16). The results did not change when data from patients with diabetes were censored at the time they began receiving ACE inhibitors on an open-label basis."
70,"As previously described (6–8), the Losartan Intervention For End point reduction in hypertension (LIFE) study primary hypothesis was that selective angiotensin-II type 1 receptor blockade with losar-tan would be more effective than beta-blockade with atenolol in reducing cardiovascular morbidity and mortality in hyper-tensive patients with electrocardiographic (ECG) left ventric-ular (LV) hypertrophy. Therefore, we analyzed the outcome in the subgroup of hypertensive patients with ECG LV hyper-trophy (n  342) who had a history of AF or electrocardio-graphically veriﬁed AF at the start of the LIFE study to evaluate the treatment effect of a speciﬁc angiotensin-II recep-tor versus beta-blockade on cardiovascular morbidity and mortality in hypertensive patients with ECG LV hypertrophy"
182,"Prespecified subgroup analysis of ALLHAT, a randomized, double-blind, active-controlled, clinical outcome trial conducted between February 1994 and March 2002 in 33 357 hypertensive US and Canadian patients aged 55 years or older (35% black) with at least 1 other cardiovascular risk factor."
135,"In light of recently published and updated NCEP ATP IIItreatment recommendations,2 an additional analysis withrespect to the proportion of patients who attained an optionaltarget for LDL-C (b70 mg/dL) was further explored in thesubgroup of patients with CHD or CHD risk equivalents per NCEP ATP III definition. Data are also presented for CHD orCHD risk equivalent patients who achieved the currentlyrecommended LDL-C target of b100 mg/dL. An additional posthoc analysis measured high-sensitivity C-reactive protein (hs-CRP) levels from archived baseline and postbaseline (after6 weeks of treatment) plasma samples from 1832 patients.                    A post hoc analysis of attainment of an optional LDL-Ctarget of b70 mg/dL in patients with CHD or CHD riskequivalent confirmed that the more aggressive optionaltreatment target of b70 mg/dL in this subgroup wasdifficult to attain. At the recommended starting dose of10/20 mg of ezetimibe/simvastatin and at the alternativestarting dose of 10/40 mg, 39% and 57% of these patientsachieved an LDL-C goal of b70 mg/dL, compared with6%, 18%, and 23% of patients treated with the recommendedinitial (10 and 20 mg) and alternative (40 mg)starting doses of atorvastatin, respectively. At themaximum dose of atorvastatin 80 mg, only 36% of thesepatients attained the optional goal of b70 mg/dLcompared with 64% with ezetimibe/simvastatin."
216,"Subgroup analyseswere performed for percentage goal attainment andpercentage LDL-C reduction on the following groups:age (< 65 years, ³ 65 years), gender, race (Caucasian,Black, others), and baseline LDL-C (< 3.40 mmol/L,³ 3.40 mmol/L). All interactions were tested at thealpha = 0.10 level and were further assessed usingthe GailÐSimon test to determine whether they werequantitative or qualitative.                 The treatment effecton the LDL-C goal attainment was generally consistentover the different subgroups defined by patient baselinecharacteristics (gender, age [< 65 years, ³ 65 years],baseline LDL-C [< 3.40 mmol/L, ³ 3.40 mmol/L]). A significant inter action between treatment and agecategory (< 65 years, ³ 65 years) was detected ( p =0.002) in this subgroup analysis of the primary variable,suggesting higher goal attainment in patients ³ 65 years.This interaction was, however, not qualitative in nature( p = 0.500), thus, the changes were directionallyconsistent with the results for the whole cohort.Moreover, the mean percentage LDL-C reduction wasnot significantly ( p = 0.066) different between patients< 65 years and those ³ 65 years.     Mean LDL-C level (± standard deviation) wasreduced from 3.16 (± 0.40) mmol/L at baseline to 2.29(± 0.51) mmol/L after 6 weeks with co-administeredezetimibe and on-going simvastatin 10 mg or 20 mgtherapy compared to 3.18 (± 0.36) mmol/L and 3.03(± 0.46) mmol/L, respectively with placebo plus simvastatin.The co-administration of ezetimibe with ongoingsimvastatin resulted in a significantly greatermean percentage reduction in LDL-C from baseline of27.1% compared with 4.1% for placebo (between groupdifference in LS means = Ð23.0%, 95% CI: Ð25.8, Ð20.2;p ² 0.001). The effect of ezetimibe was consistent acrossboth doses of simvastatin. Interactions with p ² 0.100were observed between treatment and age category ( p =0.066), and between treatment and baseline LDL-Ccategory ( p = 0.025) in the subgroup analysis of thepercentage change in LDL-C. These interactions werenot qualitative in nature ( p = 0.500), and thus, thechanges were directionally consistent with the results forthe whole cohort. Except for HDL-C, changes in lipidparameters were significantly ( p ² 0.001) greater in theezetimibe group compared to the placebo group after6 weeks of treatment (Table 2)."
215,"Subgroup analyses were performed for percentage goal attainment and percentage LDL-C reduction on the following groups: age (< 65 years, ≥ 65 years), gender, race (Caucasian, Black, others), and baseline LDL-C (< 3.40mmol/L, ≥ 3.40mmol/L). The treatment effect on the LDL-C goal attainment was generally consistent over the different subgroups defined by patient baseline characteristics (gender, age [< 65 years, ≥ 65 years], baseline LDL-C [< 3.40mmol/L, ≥ 3.40mmol/L]). A significant interaction between treatment and age category (< 65 years, > 65 years) was detected (p = 0.002) in this subgroup analysis of the primary variable, suggesting higher goal attainment in patients > 65 years. This interaction was, however, not qualitative in nature ( p = 0.500), thus, the changes were directionally consistent with the results for the whole cohort. Moreover, the mean percentage LDL-C reduction was not significantly ( p = 0.066) different between patients < 65 years and those > 65 years.  The effect of ezetimibe was consistent across both doses of simvastatin. Interactions with p ≤ 0.100 were observed between treatment and age category (p = 0.066), and between treatment and baseline LDL-C category (p = 0.025) in the subgroup analysis of the percentage change in LDL-C. These interactions were not qualitative in nature (p = 0.500), and thus, the changes were directionally consistent with the results for the whole cohort. Except for HDL-C, changes in lipid parameters were significantly (p ≤ 0.001) greater in the ezetimibe group compared to the placebo group after 6 weeks of treatment (Table 2)."
49,"A subgroup analysisof the progression of radiographic joint damage was performedin patients who either did or did not have erosivedisease at baseline.                  Of allpatients with nonerosive disease at baseline, 9 of 31(29%) in group 1, 18 of 34 (53%) in group 2, 14 of 37(38%) in group 3, and 5 of 34 (15%) in group 4progressed to erosive disease (P   0.050 for group 1versus group 2; P   0.001 for group 2 versus group 4;P   0.028 for group 3 versus group 4; P NS for othercomparisons).AEs. A total"
165,Onset of Action of Mometasone Furoate Nasal Spray vs. Placebo in Induced Allergic Rhinitis
256,The rates of clinical response were similar between the subpopulations of patients who were cortico-steroid-refractory and those who were not corti-costeroid-refractory (Table 3).
68,"As a group, patients with known psoriatic arthritis who received etanercept showed signi<U+FB01>cant and clinically meaningful improvements in fatigue (mean improvement of 7·3 vs placebo improvement of 2·0; p0·0001; difference 5·2, 95% CI 2·7–7·8); the mean improvement in those without known arthritis was statistically, but not clinically, signi<U+FB01>cant (3·7 vs 1·9; p=0·0298; 1·8, 0·1–3·5)"
235,"The consistencyof treatment effects within the age subgroup (<65 or>65 years) was tested using the analysis of variance(ANOVA) model with terms of trial, treatments (dosecombinations), subgroup, and treatment-by-subgroupinteraction.                   Regardless ofage subgroup, treatment with EZE/SIMVA was associatedwith a similar incremental reduction in LDL-Ccompared with the pooled SIMVA doses (52% and37%, respectively, in the younger subgroup and 55%and 41%, respectively, in the older subgroup). Thiswas also evident across the individual SIMVA doses(10/10-mg dose: 44% and 30%, respectively, in theyounger subgroup and 48% and 34%, respectively, inthe older subgroup; 10/20-mg dose: 49% and 34%,respectively, in the younger subgroup and 52% and38%, respectively, in the older subgroup; 10/40-mgdose: 54% and 39%, respectively, in the younger subgroupand 57% and 43%, respectively, in the oldersubgroup; 10/80-mg dose: 59% and 46%, respectively,in the younger subgroup and 62% and 49%,respectively, in the older subgroup; all, P = NS fortreatment-by-age-subgroup interaction; Figure 1). Theimprovements in non-HDL-C, apo B, and TG differedsignificantly between the EZE/SIMVA and SIMVAgroups in the overall patient cohort (non-HDL-C,48% vs 35%; apo B, 42% vs 30%; TG, 26% vs 19%;all, P < 0.001). These effects for EZE/SIMVA andSIMVA were similar across the younger and oldersubgroups (non-HDL-C: 47% and 34%, respectively,in the younger subgroup and 50% and 37%, respectively,in the older subgroup; apo B: 41% and 29%,respectively, in the younger subgroup and 43% and33%, respectively, in the older subgroup; TG: 27%and 18%, respectively, in the younger subgroup and25% and 21%, respectively, in the older subgroup; all, P = NS for treatment-by-age-subgroup interaction;Figure 2). Treatment with EZE/SIMVA and SIMVAmonotherapy was associated with comparable meanincreases in HDL-C in the entire study cohort (g% vs7%, respectively; P = NS), as well as across the age subgroups(8% and 7%, respectively, in the younger subgroupand 8% for both in the older subgroup; P = NSfor treatment-by-age-subgroup interaction; Figure 2).A significantly greater mean reduction in hs-CRP wasseen with EZE/SIMVA compared with SIMVA in theentire patient cohort (33% vs 15%; P < 0.001); thisdifference in hs-CRP reduction was similar across the 2 age subgroups examined (30% and 14%, respectively,in the younger subgroup and 39% and19%, respectively, in the older subgroup; P = NS fortreatment-by-age-subgroup interaction; Figure 3). Asignificantly greater proportion of patients in the entirestudy cohort attained LDL-C targets of <100 mg/dLand <70 mg/dL with EZE/SIMVA therapy comparedwith SIMVA therapy alone (<100 mg/dL: 79% vs42%; <70 mg/dL: 37% vs 6%; both, P < 0.001), whichwas consistent with the pattern seen in the youngerand older subgroups (<100 mg/dL: 77% and 41%, respectively,in the younger subgroup and 85% and48%, respectively, in the older subgroup; <70 mg/dL:35% and 5%, respectively, in the younger subgroupand 44% and 8%, respectively, in the older subgroup;both, P = NS for treatment-by-age-subgroup interaction;Figure 4)."
134,"In general, the HbA1c-lowering effects of sitagliptin 100mg and 200 mg at week 18 were consistent amongsubgroups defined by sex, age, race, baseline BMI,baseline homeostasis model assessment insulin resistanceindex (HOMA-IR), baseline homeostasis model assessmentbeta cell function index (HOMA-""), prior use ofOHAs, and baseline metabolic syndrome status. Patientswith a baseline duration of diabetes at or below the median (e3.0 years) had a greater HbA1c reduction with sitagliptin(placebo-subtracted LS mean [95% CI] HbA1c reductionsat week 18 for 100 mg and 200 mg were j0.90% [j1.21to j0.60] and j0.70% [j1.00 to j0.39], respectively)than those with a baseline duration of diabetes >3.0 years(j0.28% [j0.59 to 0.20] and j0.28% [j0.58 to 0.03] forthe sitagliptin 100 mg and 200 mg groups, respectively;p=0.019 for treatment-by-subgroup interaction).Patients with higher baseline HbA1c (Q9%) experiencednumerically greater mean placebo-subtracted reductions inHbA1c at week 18 with sitagliptin (j1.20% for 100 mg,j1.04% for 200 mg) than those with baseline HbA1c <8%(j0.44% for 100 mg, j0.33% for 200 mg) or those withbaseline HbA1c 8Ð8.9% (j0.61% for 100 mg, j0.39% for200 mg); however, the treatment-by-subgroup interactionwas not significant (p=0.087)."
133,"In general, the HbA1c-lowering effects of sitagliptin 100 mg and 200 mg at week 18 were consistent among subgroups defined by sex, age, race, baseline BMI, baseline homeostasis model assessment insulin resistance index (HOMA-IR), baseline homeostasis model assess-ment beta cell function index (HOMA-""), prior use of OHAs, and baseline metabolic syndrome status."
124,"In a post-hoc subgroup analysis of high-risk patients (i.e., patients with CHD or CHD risk equivalent by NCEP ATP III), significantly higher proportions of patients treated with ezetimibe/simvastatin reached the LDL-C goal of < 100 mg/dL (< 2.6 mmol/L) than rosuvastatin when averaged across all doses ( p = 0.011) (Figure 4A); however, the individual dose comparisons did not reach statistical significance. Significantly higher proportions of patients also achieved an LDL-C level of < 70 mg/dL (< 1.8 mmol/L), at the lowest and maximum doses, across doses ( p < 0.001) and at the ezetimibe/simvastatin 10/40 mg versus rosuvastatin 20 mg dose comparison ( p = 0.005; Figure 4B)."
234,"The change in HbAlc was also evaluated in several prespecified subgroups categorized by baseline HbAlcstatus (<8.5% or >8.5%); previous OHA status (OHAmonotherapy, TZD-based oral combination therapy,no OHA therapy); sex; race; median values at baselinefor age, body mass index (BMI), and duration of diabetes;HOMA-IR; HOMA-I~; and metabolic syndromestatus, as defined by National Cholesterol EducationProgram Adult Treatment Panel (NCEP ATP-III)criteria. 27                          The effect of sitagliptin treatment on HbAI~ wasgenerally consistent among the subgroups defined bybaseline demographic/anthropometric characteristics (age,sex, race, and BMI) and the subgroups defined bybaseline efficacy values and disease-related characteristics(HbAI¢ , HOMA-I~, HOMA-IR, duration ofdiabetes, and metabolic syndrome status). In theexamination of the subgroup classified by baselineHbAI¢ <8.5% or >8.5%, the within-group reductionin HbAI¢ in the sitagliptin group was greater in thosewith a higher baseline HbAl¢ compared with thosewith a lower baseline HbAI¢ (-1.17% vs -0.73%, respectively).In the placebo group, patients with a higherbaseline HbAI¢ also had a greater reduction inHbAI¢ compared with those with a lower baselineHbAI¢ (-0.38% vs -0.06%). As a result, no statisticallysignificant difference was observed in the analysisby baseline value of the placebo-subtracted reductionin HbAI¢ from baseline"
233,"The change in HbAlc was also evaluated in several prespecified subgroups categorized by baseline HbAlc status (<8.5% or >8.5%); previous OHA status (OHA monotherapy, TZD-based oral combination therapy, no OHA therapy); sex; race; median values at baseline for age, body mass index (BMI), and duration of dia­betes; HOMA-IR; HOMA-p; and metabolic syndrome status, as defined by National Cholesterol Educa­tion Program Adult Treatment Panel (NCEP ATP-III) criteria."
146,In the subgroup analysis according to stroke subtype a HR for the primary outcome event of 0Â·91 (0Â·61â€“1Â·37) and a HR for major bleeding complications of 2Â·97 (1Â·33â€“6Â·64) was found in patients with small-vessel disease at baseline. The corresponding HRs for patients with large-vessel disease at baseline were 1Â·17 (0Â·72â€“1Â·92) for the primary outcome event and 1Â·64 (0Â·60â€“4Â·51) for major bleeding complications.
230,The ACUITY Trial: A Randomized Comparison of Angiomax (Bivalirudin) Versus Heparin (Unfractionated Heparin or Enoxaparin) in Patients Undergoing Early Invasive Management for Acute Coronary Syndromes Without ST-Segment Elevation
116,Got fig in title 17384437fig
37,"A Randomised, Parallel-group, Open-label, Multinational Trial Comparing the Safety and Efficacy of Insulin Aspart (NovoRapid®) Versus Human Insulin (Actrapid®), Used in a Multiple Injection Regimen, in the Treatment of Pregnant Women With Type 1 Diabetes, Focusing on Maternal Hypoglycaemia and Pregnancy Outcomes"
173,"Pre-defined subgroup analyses wereperformed for the per cent change from baseline in LDLCacross the following subgroups: age (<65 vs.  65years), gender, race (Caucasian, Black, and others; ananalysis of subgroups Caucasian and non-Caucasian wassubsequently performed because of small numbers ofBlack patients enrolled in the study), baseline LDL-C(<3.00 vs.  3.00 mmol/l), body mass index (BMI; <30 vs. 30 kg/m2), HbA1C (<7% vs.  7%) and patient history of hypertension (no, yes) or hypercholesterolaemia (no,yes). An ANOVA model with terms for treatment, centre,subgroup and treatment-by-subgroup interaction wasused to examine the interactions; treatment-by-subgroupeffect was tested at the a _ 0.100 level. The GailÐSimontest (with a _ 0.050) applied in a pairwise fashion wasused to determine the nature (qualitative vs. quantitative)of significant treatment-by-subgroup interaction terms.                        The LDL-C-lowering treatment effects were generallyconsistent across pre-specified subgroups definedby patient baseline characteristics, including age (<65vs.  65 years), race (Caucasian and non-Caucasian),baseline LDL-C (<3.0 vs.  3.0 mmol/l), BMI (<30 vs. 30 kg/m2), hypercholesterolaemia, hypertension andHbA1c (<7 vs.  7%). A significant (p _ 0.055) interactionbetween treatment and gender was detected."
261,"Therewere no diff erences between treatment groups in theprimary endpoint based on the prespecifi ed subgroupsof age, sex, diabetic status, or eGFR above or below60 mL/min per 1á73 m_."
259,"There were no diﬀ erences between treatment groups in the primary endpoint based on the prespeciﬁ ed subgroups of age, sex, diabetic status, or eGFR above or below 60 mL/min per 1·73 m²."
8,"""In the subgroup of patients who also took ? blockers, topiramate was associated with a substantially lower number of migraine days compared with baseline. However, in the few patients who received tricyclic antidepressants, topiramate was associated with no signifi cant change in the number of migraine days during the open-label phase. Exclusion of patients receiving ? blockers or tricyclic antidepressants had no eff ect on the overall study results in either the open-label or double-blind phases. Acute migraine treatments, such as triptans, are also unlikely to have had a confounding eff ect on the primary endpoint, because they are taken after the onset of migraine headache"""
136,"In patients with baseline A1C  8.0%, the mean change inA1C was  0.7   0.1% in both treatment groups. Thedecrease in A1C in patients with baseline A1C >9.0%was more substantial and similar in vildagliptin-treatedpatients (baseline _ 9.8%, mean change _  1.5   0.2%)and in pioglitazone-treated patients (baseline _ 9.7%,mean change _  1.5   0.2%). In non-obese patients, thedecrease in A1C was somewhat greater in the vildagliptingroup (baseline A1C _ 8.5%, baseline BMI _ 26.9 kg/m2, mean change _  1.0   0.1%) than in the pioglitazonegroup (baseline A1C _ 8.4%, baseline BMI _ 27.3 kg/m2, mean change _  0.7   0.1%). In obese patients, thedecrease in A1C was somewhat greater in those receivingpioglitazone (baseline A1C _ 8.4%, baseline BMI _ 35.4kg/m2, mean change_  1.2   0.1%) than in thosereceiving vildagliptin (baseline A1C _ 8.4%, baselineBMI _ 35.6 kg/m2, mean change _  0.8   0.1%)."
45,A Study to Evaluate the Efficacy and Safety of Ezetimibe/Simvastatin and Fenofibrate Coadministration in Patients With Mixed Hyperlipidemia
225,Table mislabelled as a baseline table.
148,"In the subgroup of patients in EPIC-1who had received induction therapywith corticosteroids, no significant differencewas observed between the 2treatment groups. Thirty-eight percentof those who received omega-3 freefatty acids experienced a relapse at 360days compared with 39.5% in the placebogroup (P=.60)."
52,"A1C was also evaluated by stratifyingthe total population into two subgroupsaccording to baseline A1C to evaluate theeffect of baseline A1C on the response tothe addition of colesevelam. In the subgroupwith A1C  8.0% at baseline, thetreatment effect for A1C was  0.48  0.124% (P   0.0002). A greater A1Ctreatment effect was observed in the subgroupwith A1C  8.0% at baseline( 0.58   0.128%, P   0.0001)."
3,"As reported in the primary manuscript, an additional pooled subgroup analysis of the three co-primary endpoints was consistent with the overall results, with no signi�cant interaction observed between primary joint and treatment10"
39,"A Randomized, Double-blind, Parallel Group Study to Investigate the Efficacy and Safety of Treatment With Dutasteride (0.5mg) and Tamsulosin (0.4mg), Administered Once Daily for 4 Years, Alone and Combination, on the Improvement of Symptoms and Clinical Outcome in Men With Moderate to Severe Symptomatic Benign Prostatic Hyperplasia"
284,Whole study is sub-group Asian (trial is in prostate disease)
149,"In the subgroup with an HbA1c level of 8.0% or lower at baseline, HbA1c level decreased in the colesevelam group by ?0.24% compared with an in-crease of 0.24% in the placebo group, resulting in an LS mean treatment difference of ?0.49% (P=.002). A greater effect was observed in the subgroup with an HbA1c level higher than 8.0% at baseline; the mean change in HbA1c level in the colesevelam group was ?0.54% compared with an increase of 0.07% in the placebo group (LS mean treat-ment difference: ?0.60%; P .001)."
145,"In the prespecified subgroup of patients with higher natriuretic peptide levels, pretreatment BNP level $ 500, or NT pro- BNP $2000 pg/mL, most likely representing more severe AHF"
107,Figure 3
65,"Analysis of a subgroup of patients with severe AD (MMSE 5–12) in the study of donepezil in moderate to severe AD (MSAD study),"
206,"Subgroup analyses demonstrated that regardless of age, gender, race, Hispanic ethnicity or baseline BMI, both doses of alogliptin resulted in meaningful reductions in HbA1c relative to placebo"
207,"Subgroup analyses demonstrated that regardless of age, gender, race, Hispanic ethnicity or baseline BMI, both doses of alogliptin resulted in meaningful reductions in HbA1c relative to placebo."
163,Not sure why missed. Is figure 3 in 19213680.pdf. Includes hazard ratios. Need to add to TableTidier
97,"Effects of active treatment were consistent across subgroups defined by baseline systolic or diastolic BP. Lower systolic BP levels during follow-up, even to <110 mmHg, was associated with progressively lower rates of renal events."
156,"Median initial values of SBP for the four groups defined by baseline SBP ranged from 113 to 172 mmHg, and those of DBP for DBP subgroups ranged from 66 to 95 mmHg. Separately significant reductions in the occurrence of renal events and the composite of macrovascular events, renal events, and all-cause mortality were observed for almost every BP subgroup with no evidence of differences in the size of effect at different levels of baseline SBP or DBP (Figure 2). The benefits of active treatment with respect to renal events were also consistent across a broad range of participant subgroups defined by background use of a variety of concomitant therapies, age, gender, kidney function, diabetes duration, and glycemic control (all P > 0.1 for trend; Figure 3). Specifically, there was no evidence that background ACEI treatment modified the effects of study treatment."
157,"Moreover, by 12 months zoledronic acid had increased lumbar spine bone mineral density more than had risedronate in both the treatment (least-squares mean 4·06% [SE 0·28] vs 2·71% [SE 0·28], mean di? erence 1·36% [95% CI 0·67 to 2·05]) and prevention subgroups (2·60% [0·45] vs 0·64% [0·46], 1·96% [1·04 to 2·88])"
127,"In a subgroup LOCF analysis, treatment groups werecompared by prior OAD therapy (monotherapy or dualtherapy). Subjects receiving prior monotherapy showedan HbA1c reduction least square mean (LSmean)of  1.266% for repaglinide/metformin FDC BID vs. 1.485% for rosiglitazone/metformin FDC BID (pairwise,p _ 0.1348). Subjects previously treated with dual OADtherapy showed an HbA1c reduction of  0.618% for repaglinide/metformin FDC BID vs.  0.456% for rosiglitazone/metformin FDC BID (pairwise, p _ 0.3388)."
51,"A1C-lowering effects were consistent across treatment groups in all other tested subgroups in-cluding duration of diabetes, geographic region, sex, age, ethnicity, and BMI."
265,This post hoc analysis compared the effects of treatment with ezetimibe/simvastatin 10/20 mg vs. atorvastatin 10 and 20 mg/day and ezetimibe/simvastatin 10/40 mg/day vs. atorvastatin 40 mg/day on the cholesterol content of lipoprotein subclasses in the modified intent-to-treat (mITT) population (n ¼ 1013) and in subgroups of patients with triglyceride (TG) levels <200 mg/dl (n ¼ 600) and 200 mg/dl (2.6 mmol/l) (n ¼ 413).
47,A subgroup analysis of subjects who previously received monotherapy or dual therapy was conducted. Subjects receiving prior monotherapy showed an LOCF HbA1c reduction (LSmean) of 1.266% for repaglinide/metformin FDC BID vs. 1.483% for repaglinide/metformin FDC TID (pairwise p ¼ 0.1466). Subjects previously treated with dual OAD therapy showed an HbA1c reduction of 0.618% for repaglinide/metformin FDC BID vs. 0.688% for repaglinide/metformin FDC TID (pairwise p ¼ 0.6741).
55,"All subgroup analyses should be treated with caution. However, treatment to prevent exacerbations seemed just as effective whatever the GOLD stage."
239,"the effect of saxagliptin on HbA1c lowering was consistent across prespeci<U+FB01>ed subgroups including age, gender, ethnicity, BMI, geographic distribution and duration of diabetes, suggesting its appropriate-ness for use in a variety of patients with type 2 diabetes."
122,"Importantly, the effect of saxagliptin on HbA1c lowering was consistent across prespeciﬁed subgroups including age, gender, ethnicity, BMI, geographic distribution and duration of diabetes, suggesting its appropriate-ness for use in a variety of patients with type 2 diabetes"
142,"In subgroup analyses, participants who had more symptoms (ACQ scores â‰¥ 2) or worse lung function (FEV1 bronchodilator reversibility â‰¥ 12% or FEV1 or percent predicted â‰¤ 80%) at baseline had greater improvements in ACQ and ASUI scores in follow-up, however there was no strong evidence that message or drug effects were more pronounced in participants in these subgroups (data not shown)."
141,"In subgroup analyses, participants who had more symptoms (ACQ scores ≥ 2) or worse lung function (FEV1 bronchodilator reversibility ≥ 12% or FEV1 or percent predicted ≤ 80%) at baseline had greater improvements in ACQ and ASUI scores in follow-up, however there was no strong evidence that message or drug effects were more pronounced in participants in these subgroups (data not shown)."
108,"Figure 3 in table. Also text ""At week 52, the treatment differences in subjects with and without tamsulosin were 1.7 mL/s and 1.2 mL/s, respectively (Fig. 3b)."""
184,"Regardless of gender, age (<65 or  65 years), ethnicity(Hispanic/Latino or not) or BMI (<30 or  30 kg/m2),both doses of alogliptin showed meaningful decreases inHbA1C compared with placebo."
