trm_lvl_id,pmid,page,original_strings_caught_from_tt,mesh_term,mesh_code,atc_code,risk_score,tid,global,global_n,global_pcdsfartl,mesh_term_f,txt_id
46,11419426,NA,Target vessel diameter,unclassifiable,NA,NA,0,0,any,2,000000000,unclassifiable,NA
47,11419426,NA,Type of MI,Myocardial Infarction,D009203,NA,0,0,type,12,000000010,Myocardial Infarction,NA
48,11442551,2,;all randomized women,Gender Identity,D005783,NA,0,1726,any,2,000000000,Gender Identity,NA
49,11442551,2,";post-menopausal with hormone replacement therapy (asa 6,091/placebo 5957)",Estrogen Replacement Therapy,D015914,NA,0,1726,any,2,000000000,Estrogen Replacement Therapy,NA
50,11442551,2,";post-menopausal without hormone replacement therapy (asa 3,261/placebo 3264)",Estrogen Replacement Therapy,D015914,NA,0,1726,any,2,000000000,Estrogen Replacement Therapy,NA
51,11442551,2,;pre-menopausal with hormone replacement therapy (asa 530/placebo 481),Estrogen Replacement Therapy,D015914,NA,0,1726,any,2,000000000,Estrogen Replacement Therapy,NA
52,11442551,2,;pre-menopausal without hormone replacement therapy (asa 4626/placebo 4703),Estrogen Replacement Therapy,D015914,NA,0,1726,any,2,000000000,Estrogen Replacement Therapy,NA
53,11527638,1,ace inhibitors,Angiotensin-Converting Enzyme Inhibitors,D000806,NA,0,1826,any,2,000000000,Angiotensin-Converting Enzyme Inhibitors,NA
54,11527638,1,age (yrs),Age Factors,D000367,NA,0,1826,any,2,000000000,Age Factors,NA
55,11527638,1,age (yrs);<50,Age Factors,D000367,NA,0,1826,any,2,000000000,Age Factors,NA
56,11527638,1,age (yrs);>80,Age Factors,D000367,NA,0,1826,any,2,000000000,Age Factors,NA
57,11527638,1,age (yrs);50-59,Age Factors,D000367,NA,0,1826,any,2,000000000,Age Factors,NA
58,11527638,1,age (yrs);60-69,Age Factors,D000367,NA,0,1826,any,2,000000000,Age Factors,NA
59,11527638,1,age (yrs);70-79,Age Factors,D000367,NA,0,1826,any,2,000000000,Age Factors,NA
60,11527638,1,diabetes etiology,Diabetes Mellitus,D003920,NA,0,1826,aetiological,1,000001000,Diabetes Mellitus,NA
61,11527638,1,hypertension,Hypertension,D006973,NA,0,1826,any,2,000000000,Hypertension,NA
62,11527638,1,male,Gender Identity,D005783,NA,0,1826,any,2,000000000,Gender Identity,NA
63,11527638,1,n,Age Factors,D000367,NA,0,1826,any,2,000000000,Age Factors,NA
64,11527638,1,nonwhite,Racial Groups,D044469,NA,0,1826,any,2,000000000,Racial Groups,NA
65,11527638,1,prior mi,Myocardial Infarction,D009203,NA,0,1826,previous,8,100000000,Myocardial Infarction,NA
66,11918909,NA,history of  previous myocardial infarction,Myocardial Infarction,D009203,NA,0,0,previous,8,100000000,Myocardial Infarction,274
67,11918909,NA,revascularisation procedure,Myocardial Revascularization,D009204,NA,0,0,any,2,000000000,Myocardial Revascularization,NA
68,11937179,NA,Medical History: Diabetes,Diabetes Mellitus,D003920,NA,0,0,previous,8,100000000,Diabetes Mellitus,50
69,11948888,NA,angina type,Angina Pectoris,D000787,NA,0,0,type,12,000000010,Angina Pectoris,59
70,12086367,NA,study center,Geographic Locations,D005842,NA,0,0,any,2,000000000,Geographic Locations,262
71,12205648,2,dementia,Dementia,D003704,NA,0,656,severity,11,000100000,Dementia,NA
72,12243636,NA,isolated systolic hypertension,Hypertension,D006973,NA,0,0,any,2,000000000,Hypertension,278
73,12409542,NA,Patient Variable: Gender,Gender Identity,D005783,NA,0,0,any,2,000000000,Gender Identity,237
74,12456232,3,fasting plasma insulin,Insulin,D007328,NA,0,1436,any,2,000000000,Insulin,NA
75,12466506,NA,age,Age Factors,D000367,NA,0,0,any,2,000000000,Age Factors,NA
76,12466506,NA,cad,Coronary Artery Disease,D003324,NA,0,0,any,2,000000000,Coronary Artery Disease,NA
77,12466506,NA,duration of af,Atrial Fibrillation,D001281,NA,0,0,duration,5,001000000,Atrial Fibrillation,NA
78,12466506,NA,heart failure,Heart Failure,D006333,NA,0,0,any,2,000000000,Heart Failure,NA
79,12466506,NA,hypertension,Hypertension,D006973,NA,0,0,any,2,000000000,Hypertension,NA
80,12466506,NA,lvef,Stroke Volume,D013318,NA,0,0,any,2,000000000,Stroke Volume,NA
81,12466506,NA,rhythm at randomisation,"Arrhythmias, Cardiac",D001145,NA,0,0,type,12,000000010,"Arrhythmias, Cardiac",NA
82,12466506,NA,sex,Gender Identity,D005783,NA,0,0,any,2,000000000,Gender Identity,NA
83,12466506,NA,type of episode of af,Atrial Fibrillation,D001281,NA,0,0,type,12,000000010,Atrial Fibrillation,NA
84,12479763,NA,DIABETES,Diabetes Mellitus,D003920,NA,0,0,any,2,000000000,Diabetes Mellitus,NA
85,12479763,NA,participants less than 65 and 65 years or older,Age Factors,D000367,NA,0,0,any,2,000000000,Age Factors,NA
86,12479763,NA,post hoc subgroups presence or absence of CHD at baseline,Coronary Artery Disease,D003324,NA,0,0,any,2,000000000,Coronary Artery Disease,NA
87,12479763,NA,RACE,Racial Groups,D044469,NA,0,0,any,2,000000000,Racial Groups,NA
88,12479763,NA,"subgroups, (1) men and women, (2) participants less than 65 and 65 years or older, (3) black and nonblack participants, and (4) diabetic and nondiabetic participants, and the post hoc subgroups presence or absence of CHD at baseline",Gender Identity,D005783,NA,0,0,any,2,000000000,Gender Identity,NA
89,12479764,NA,age,Age Factors,D000367,NA,0,0,any,2,000000000,Age Factors,NA
90,12479764,NA,Age-Years,Age Factors,D000367,NA,0,0,any,2,000000000,Age Factors,NA
91,12479764,NA,chd,Coronary Artery Disease,D003324,NA,0,0,any,2,000000000,Coronary Artery Disease,NA
92,12479764,NA,chd and ldl<130,complex,NA,NA,0,0,any,2,000000000,complex,NA
93,12479764,NA,composite NO CHD and LDL high,complex,NA,NA,0,0,any,2,000000000,complex,NA
94,12479764,NA,diabetes,Diabetes Mellitus,D003920,NA,0,0,any,2,000000000,Diabetes Mellitus,NA
95,12479764,NA,race,Racial Groups,D044469,NA,0,0,any,2,000000000,Racial Groups,NA
96,12479764,NA,sex,Gender Identity,D005783,NA,0,0,any,2,000000000,Gender Identity,NA
97,12505224,NA,age,Age Factors,D000367,NA,0,0,any,2,000000000,Age Factors,89
98,12505224,NA,race,Racial Groups,D044469,NA,0,0,any,2,000000000,Racial Groups,250
99,12505224,NA,sex,Gender Identity,D005783,NA,0,0,any,2,000000000,Gender Identity,250
100,12601075,2,age,Age Factors,D000367,NA,0,4,any,2,000000000,Age Factors,NA
101,12601075,2,factor v leiden or prothrombin mutation,Thrombophilia,D019851,NA,0,4,any,2,000000000,Thrombophilia,NA
102,12601075,2,factor v leiden or prothrombin mutation;present,Thrombophilia,D019851,NA,0,4,any,2,000000000,Thrombophilia,NA
103,12601075,2,no. of previous venous thromboembolic events,Venous Thromboembolism,D054556,NA,0,4,previous,8,100000000,Venous Thromboembolism,NA
104,12601075,2,sex,Gender Identity,D005783,NA,0,4,any,2,000000000,Gender Identity,NA
105,12601075,2,time since cessation of full-dose warfarin therapy,Anticoagulants,D000925,NA,0,4,any,2,000000000,Anticoagulants,NA
106,12803733,2,HbA1c,Glycated Hemoglobin A,D006442,NA,0,1584,any,2,000000000,Glycated Hemoglobin A,NA
107,12803733,2,hba1c strata,Glycated Hemoglobin A,D006442,NA,0,1584,any,2,000000000,Glycated Hemoglobin A,NA
108,12803733,3,HbA1c,Glycated Hemoglobin A,D006442,NA,0,1213,any,2,000000000,Glycated Hemoglobin A,NA
109,12803733,3,hba1c strata,Glycated Hemoglobin A,D006442,NA,0,1213,any,2,000000000,Glycated Hemoglobin A,NA
110,12803733,4,HbA1c,Glycated Hemoglobin A,D006442,NA,0,1746,any,2,000000000,Glycated Hemoglobin A,NA
111,12803733,4,hba1c strata,Glycated Hemoglobin A,D006442,NA,0,1746,any,2,000000000,Glycated Hemoglobin A,NA
112,12803733,5,HbA1c,Glycated Hemoglobin A,D006442,NA,0,161,any,2,000000000,Glycated Hemoglobin A,NA
113,12803733,5,hba1c strata,Glycated Hemoglobin A,D006442,NA,0,161,any,2,000000000,Glycated Hemoglobin A,NA
114,12860578,NA,calcium channel blocker,Calcium Channel Blockers,D002121,NA,0,0,any,2,000000000,Calcium Channel Blockers,191
115,12899584,2,;patients with clinically evident vascular disease,Vascular Diseases,D014652,NA,0,1333,any,2,000000000,Vascular Diseases,NA
116,12899584,2,;patients without clinically evident vascular disease,Vascular Diseases,D014652,NA,0,1333,any,2,000000000,Vascular Diseases,NA
117,12925554,NA,age,Age Factors,D000367,NA,0,0,any,2,000000000,Age Factors,NA
118,12925554,NA,Age-Years,Age Factors,D000367,NA,0,0,any,2,000000000,Age Factors,NA
119,12925554,NA,chd,Coronary Artery Disease,D003324,NA,0,0,any,2,000000000,Coronary Artery Disease,NA
120,12925554,NA,diabetes,Diabetes Mellitus,D003920,NA,0,0,any,2,000000000,Diabetes Mellitus,NA
121,12925554,NA,race,Racial Groups,D044469,NA,0,0,any,2,000000000,Racial Groups,NA
122,12925554,NA,sex,Gender Identity,D005783,NA,0,0,any,2,000000000,Gender Identity,NA
123,14506118,NA,patients with elevated levels of cardiac troponin T or to those with ST-segment depression,Troponin,D014336,NA,0,0,any,2,000000000,Troponin,112
124,14657064,2,"age, y",Age Factors,D000367,NA,0,1097,any,2,000000000,Age Factors,NA
125,14657064,2,congestive heart failure,Heart Failure,D006333,NA,0,1097,any,2,000000000,Heart Failure,NA
126,14657064,2,diabetes,Diabetes Mellitus,D003920,NA,0,1097,any,2,000000000,Diabetes Mellitus,NA
127,14657064,2,Hypercholesterolemia,Hypercholesterolemia,D006937,NA,0,1097,any,2,000000000,Hypercholesterolemia,NA
128,14657064,2,left ventricular hypertrophy,"Hypertrophy, Left Ventricular",D017379,NA,0,1097,any,2,000000000,"Hypertrophy, Left Ventricular",NA
129,14657064,2,myocardial infarction,Myocardial Infarction,D009203,NA,0,1097,any,2,000000000,Myocardial Infarction,NA
130,14657064,2,race/ethnicity,Racial Groups,D044469,NA,0,1097,any,2,000000000,Racial Groups,NA
131,14657064,2,revascularization,Myocardial Revascularization,D009204,NA,0,1097,any,2,000000000,Myocardial Revascularization,NA
132,14657064,2,sex,Gender Identity,D005783,NA,0,1097,any,2,000000000,Gender Identity,NA
133,14657064,2,us resident,Racial Groups,D044469,NA,0,1097,any,2,000000000,Racial Groups,NA
134,14661009,NA,"According to the analysis of the subgroup with the use of other concomitant drugs, the cardiovascularevent�inhibiting effects of candesartan were also significant in patients receiving conventional dru",unclassifiable,NA,NA,0,0,any,2,000000000,unclassifiable,NA
135,14687444,NA,ACR functional class,"Arthritis, Rheumatoid",D001172,NA,0,0,severity,11,000100000,"Arthritis, Rheumatoid",NA
136,14687444,NA,age,Age Factors,D000367,NA,0,0,any,2,000000000,Age Factors,91
137,14687444,NA,joint,"Arthritis, Rheumatoid",D001172,NA,0,0,any,2,000000000,"Arthritis, Rheumatoid",NA
138,14687444,NA,race,Racial Groups,D044469,NA,0,0,any,2,000000000,Racial Groups,90
139,14687444,NA,sex,Gender Identity,D005783,NA,0,0,any,2,000000000,Gender Identity,90
140,14687444,NA,tertiles of patient global assessmentof disease status,Geographic Locations,D005842,NA,0,0,any,2,000000000,Geographic Locations,90
141,14724302,2,age,Age Factors,D000367,NA,0,227,any,2,000000000,Age Factors,NA
142,14724302,2,age;<70 yr,Age Factors,D000367,NA,0,227,any,2,000000000,Age Factors,NA
143,14724302,2,age;>70 yr,Age Factors,D000367,NA,0,227,any,2,000000000,Age Factors,NA
144,14724302,2,angina class iii or iv prior myocardial infarction,Myocardial Infarction,D009203,NA,0,227,previous severity,9,100100000,Myocardial Infarction,NA
145,14724302,2,angina class iii or iv prior myocardial infarction;no,Myocardial Infarction,D009203,NA,0,227,previous severity,9,100100000,Myocardial Infarction,NA
146,14724302,2,angina class iii or iv prior myocardial infarction;yes,Myocardial Infarction,D009203,NA,0,227,previous severity,9,100100000,Myocardial Infarction,NA
147,14724302,2,diabetes,Diabetes Mellitus,D003920,NA,0,227,any,2,000000000,Diabetes Mellitus,NA
148,14724302,2,diabetes;no,Diabetes Mellitus,D003920,NA,0,227,any,2,000000000,Diabetes Mellitus,NA
149,14724302,2,diabetes;yes,Diabetes Mellitus,D003920,NA,0,227,any,2,000000000,Diabetes Mellitus,NA
150,14724302,2,intervention in complex lesions,Coronary Artery Disease,D003324,NA,0,227,severity,11,000100000,Coronary Artery Disease,NA
151,14724302,2,intervention in complex lesions;no,Coronary Artery Disease,D003324,NA,0,227,severity,11,000100000,Coronary Artery Disease,NA
152,14724302,2,intervention in complex lesions;yes,Coronary Artery Disease,D003324,NA,0,227,severity,11,000100000,Coronary Artery Disease,NA
153,14724302,2,sex,Gender Identity,D005783,NA,0,227,any,2,000000000,Gender Identity,NA
154,14724302,2,sex;female,Gender Identity,D005783,NA,0,227,any,2,000000000,Gender Identity,NA
155,14724302,2,sex;male,Gender Identity,D005783,NA,0,227,any,2,000000000,Gender Identity,NA
156,14996776,NA,Age,Age Factors,D000367,NA,0,0,any,2,000000000,Age Factors,NA
157,14996776,NA,Body mass index,Body Mass Index,D015992,NA,0,0,any,2,000000000,Body Mass Index,NA
158,14996776,NA,"High-density lipoprotein, mg/dl",Lipoproteins,D008074,NA,0,0,any,2,000000000,Lipoproteins,NA
159,14996776,NA,History of diabetes mellitus,Diabetes Mellitus,D003920,NA,0,0,previous,8,100000000,Diabetes Mellitus,NA
160,14996776,NA,History of hypertension,Hypertension,D006973,NA,0,0,previous,8,100000000,Hypertension,NA
161,14996776,NA,History of statin use,Hydroxymethylglutaryl-CoA Reductase Inhibitors,D019161,NA,0,0,previous,8,100000000,Hydroxymethylglutaryl-CoA Reductase Inhibitors,NA
162,14996776,NA,"Low-density lipoprotein, mg/dl",Lipoproteins,D008074,NA,0,0,any,2,000000000,Lipoproteins,NA
163,14996776,NA,Metabolic syndrome,Metabolic Syndrome,D024821,NA,0,0,any,2,000000000,Metabolic Syndrome,NA
164,14996776,NA,Race,Racial Groups,D044469,NA,0,0,any,2,000000000,Racial Groups,NA
165,14996776,NA,Sex,Gender Identity,D005783,NA,0,0,any,2,000000000,Gender Identity,NA
166,14996776,NA,Smoking status,Cigarette Smoking,D000073865,NA,0,0,any,2,000000000,Cigarette Smoking,NA
167,15028365,1,age,Age Factors,D000367,NA,0,1693,any,2,000000000,Age Factors,NA
168,15028365,1,alcohol intake,Alcohol Drinking,D000428,NA,0,1693,any,2,000000000,Alcohol Drinking,NA
169,15028365,1,angina,Angina Pectoris,D000787,NA,0,1693,any,2,000000000,Angina Pectoris,NA
170,15028365,1,BMI,Body Mass Index,D015992,NA,0,1693,any,2,000000000,Body Mass Index,NA
171,15028365,1,diabetes,Diabetes Mellitus,D003920,NA,0,1693,any,2,000000000,Diabetes Mellitus,NA
172,15028365,1,diastolic bp,Blood Pressure,D001794,NA,0,1693,any,2,000000000,Blood Pressure,NA
173,15028365,1,ecg-lvh (cornell),"Hypertrophy, Left Ventricular",D017379,NA,0,1693,any,2,000000000,"Hypertrophy, Left Ventricular",NA
174,15028365,1,ecg-lvh (sokolow-lyon),"Hypertrophy, Left Ventricular",D017379,NA,0,1693,any,2,000000000,"Hypertrophy, Left Ventricular",NA
175,15028365,1,exercise status,Exercise,D015444,NA,0,1693,any,2,000000000,Exercise,NA
176,15028365,1,gender,Gender Identity,D005783,NA,0,1693,any,2,000000000,Gender Identity,NA
177,15028365,1,HDL cholesterol,Lipoproteins,D008074,NA,0,1693,any,2,000000000,Lipoproteins,NA
178,15028365,1,heart failure,Heart Failure,D006333,NA,0,1693,any,2,000000000,Heart Failure,NA
179,15028365,1,ihd,Coronary Artery Disease,D003324,NA,0,1693,any,2,000000000,Coronary Artery Disease,NA
180,15028365,1,ish,Hypertension,D006973,NA,0,1693,type,12,000000010,Hypertension,NA
181,15028365,1,mi,Myocardial Infarction,D009203,NA,0,1693,any,2,000000000,Myocardial Infarction,NA
182,15028365,1,microalbuminuria,Albuminuria,D000419,NA,0,1693,any,2,000000000,Albuminuria,NA
183,15028365,1,race,Racial Groups,D044469,NA,0,1693,any,2,000000000,Racial Groups,NA
184,15028365,1,Smoker,Cigarette Smoking,D000073865,NA,0,1693,any,2,000000000,Cigarette Smoking,NA
185,15028365,1,stroke,Stroke,D020521,NA,0,1693,any,2,000000000,Stroke,NA
186,15028365,1,systolic bp,Blood Pressure,D001794,NA,0,1693,any,2,000000000,Blood Pressure,NA
187,15028365,1,total cholesterol,Lipoproteins,D008074,NA,0,1693,any,2,000000000,Lipoproteins,NA
188,15028365,2,race,Racial Groups,D044469,NA,0,1577,any,2,000000000,Racial Groups,NA
189,15028365,2,stroke,Stroke,D020521,NA,0,1577,any,2,000000000,Stroke,NA
190,15028365,2,u.s. non-black patients,Racial Groups,D044469,NA,0,1577,any,2,000000000,Racial Groups,NA
191,15028365,2,worldwide non-black patients,Racial Groups,D044469,NA,0,1577,any,2,000000000,Racial Groups,NA
192,15103313,NA,Patient Variable: Weekly Drink Consumption,Alcohol Drinking,D000428,NA,0,0,any,2,000000000,Alcohol Drinking,50
193,15238590,NA,diabetes,Diabetes Mellitus,D003920,NA,0,0,any,2,000000000,Diabetes Mellitus,NA
194,15238590,NA,inclusion criteria,unclassifiable,NA,NA,0,0,any,2,000000000,unclassifiable,NA
195,15238590,NA,killip,Myocardial Infarction,D009203,NA,0,0,severity,11,000100000,Myocardial Infarction,NA
196,15238590,NA,prior cabg,Coronary Artery Bypass,D001026,NA,0,0,previous,8,100000000,Coronary Artery Bypass,NA
197,15238590,NA,prior PCI,Percutaneous Coronary Intervention,D062645,NA,0,0,previous,8,100000000,Percutaneous Coronary Intervention,NA
198,15238590,NA,sex,Gender Identity,D005783,NA,0,0,any,2,000000000,Gender Identity,NA
199,15238590,NA,smoking,Cigarette Smoking,D000073865,NA,0,0,any,2,000000000,Cigarette Smoking,NA
200,15238590,NA,study cite,Geographic Locations,D005842,NA,0,0,any,2,000000000,Geographic Locations,NA
201,15337732,2,age,Age Factors,D000367,NA,0,691,any,2,000000000,Age Factors,NA
202,15337732,2,"c-reactive protein, mg/l",C-Reactive Protein,D002097,NA,0,691,any,2,000000000,C-Reactive Protein,NA
203,15337732,2,diabetes,Diabetes Mellitus,D003920,NA,0,691,any,2,000000000,Diabetes Mellitus,NA
204,15337732,2,HDL cholesterol,Lipoproteins,D008074,NA,0,691,any,2,000000000,Lipoproteins,NA
205,15337732,2,index diagnosis;non-st-segment elevation acs,Acute Coronary Syndrome,D054058,NA,0,691,any,2,000000000,Acute Coronary Syndrome,NA
206,15337732,2,"ldl cholesterol, mg/dl",Lipoproteins,D008074,NA,0,691,any,2,000000000,Lipoproteins,NA
207,15337732,2,pci for index event,Percutaneous Coronary Intervention,D062645,NA,0,691,any,2,000000000,Percutaneous Coronary Intervention,NA
208,15337732,2,sex,Gender Identity,D005783,NA,0,691,any,2,000000000,Gender Identity,NA
209,15337732,2,ST segment elevation myocardial infarction,Myocardial Infarction,D009203,NA,0,691,any,2,000000000,Myocardial Infarction,NA
210,15381674,2,Diabetes,Diabetes Mellitus,D003920,NA,0,11,any,2,000000000,Diabetes Mellitus,NA
211,15451146,2,age,Age Factors,D000367,NA,0,957,any,2,000000000,Age Factors,NA
212,15451146,2,diabetes,Diabetes Mellitus,D003920,NA,0,957,any,2,000000000,Diabetes Mellitus,NA
213,15451146,2,elevated troponin,Troponin,D014336,NA,0,957,any,2,000000000,Troponin,NA
214,15451146,2,male female,Gender Identity,D005783,NA,0,957,any,2,000000000,Gender Identity,NA
215,15451146,2,no prior aspirin,Aspirin,D001241,NA,0,957,previous,8,100000000,Aspirin,NA
216,15451146,2,no st depression or elevation,ST Elevation Myocardial Infarction,D000072657,NA,0,957,any,2,000000000,ST Elevation Myocardial Infarction,NA
217,15451146,2,non-diabetics,Diabetes Mellitus,D003920,NA,0,957,any,2,000000000,Diabetes Mellitus,NA
218,15451146,2,normal troponin,Troponin,D014336,NA,0,957,any,2,000000000,Troponin,NA
219,15451146,2,prior aspirin,Aspirin,D001241,NA,0,957,previous,8,100000000,Aspirin,NA
220,15451146,2,st depression or elevation,ST Elevation Myocardial Infarction,D000072657,NA,0,957,any,2,000000000,ST Elevation Myocardial Infarction,NA
221,15451146,2,timi risk score 0-2,Thrombosis,D013927,NA,0,957,severity,11,000100100,Thrombosis,NA
222,15451146,2,timi risk score 3-7,Thrombosis,D013927,NA,0,957,severity,11,000100100,Thrombosis,NA
223,15531767,NA,age,Age Factors,D000367,NA,0,0,any,2,000000000,Age Factors,160
224,15531767,NA,diabetes,Diabetes Mellitus,D003920,NA,0,0,any,2,000000000,Diabetes Mellitus,159
225,15531767,NA,history of myocardial infarction,Myocardial Infarction,D009203,NA,0,0,previous,8,100000000,Myocardial Infarction,159
226,15531767,NA,left ventricular function,Stroke Volume,D013318,NA,0,0,any,2,000000000,Stroke Volume,159
227,15531767,NA,previous revascularization procedure,Myocardial Revascularization,D009204,NA,0,0,previous,8,100000000,Myocardial Revascularization,159
228,15531767,NA,previous use of diuretic agents,Diuretics,D004232,NA,0,0,previous,8,100000000,Diuretics,159
229,15531767,NA,previous use of lipid-lowering drugs,lipid modifying agents,NA,C10,0,0,previous,8,100000000,lipid modifying agents,159
230,15531767,NA,race,Racial Groups,D044469,NA,0,0,any,2,000000000,Racial Groups,159
231,15531767,NA,sex,Gender Identity,D005783,NA,0,0,any,2,000000000,Gender Identity,159
232,15531767,NA,the serum cholesterol or creatinine concentration,Lipoproteins,D008074,NA,0,0,any,2,000000000,Lipoproteins,159
233,15537681,2,presence or absence of metabolic syndrome or type 2 diabetes mellitus.,Metabolic Diseases,D008659,NA,0,562,type,12,000000010,Metabolic Diseases,NA
234,15579515,2,NKF stage,Renal Insufficiency,D051437,NA,0,365,severity,11,000100000,Renal Insufficiency,NA
235,15590586,2,;45-54,Age Factors,D000367,NA,0,1386,any,2,000000000,Age Factors,NA
236,15590586,2,;55-64,Age Factors,D000367,NA,0,1386,any,2,000000000,Age Factors,NA
237,15590586,2,;65+,Age Factors,D000367,NA,0,1386,any,2,000000000,Age Factors,NA
238,15590586,3,;45-54,Age Factors,D000367,NA,0,794,any,2,000000000,Age Factors,NA
239,15590586,3,;55-64,Age Factors,D000367,NA,0,794,any,2,000000000,Age Factors,NA
240,15590586,3,;65+,Age Factors,D000367,NA,0,794,any,2,000000000,Age Factors,NA
241,15590586,4,Smoker,Cigarette Smoking,D000073865,NA,0,1183,any,2,000000000,Cigarette Smoking,NA
242,15659722,2,;beta-blocker,Adrenergic beta-Antagonists,D000319,NA,0,196,any,2,000000000,Adrenergic beta-Antagonists,NA
