nct_id,phase,number_of_arms,brief_title,official_title,enrollment,a,b,comparator,combination
NCT00312013,Phase 3,2,"Effects Of Nadroparin In Patients With Lung, Pancreas Or Prostate Cancer","A Randomized, Controlled Trial to Evaluate the Effects of Nadroparin on Survival and Disease Progression in Patients With Advanced Malignancies of the Lung, Pancreas, or Prostate",503,standard care,nadroparin,plac_stnd,FALSE
NCT00694382,Phase 3,2,Evaluation of AVE5026 in the Prevention of Venous Thromboembolism in Cancer Patients Undergoing Chemotherapy,"A Multinational, Randomized, Double Blind, Placebo-controlled Study to Evaluate the Efficacy and Safety of AVE5026 in the Prevention of Venous Thromboembolism (VTE) in Cancer Patients at High Risk for VTE and Who Are Undergoing Chemotherapy",3212,placebo,semuloparin,plac_stnd,FALSE
NCT00558259,Phase 3,2,Twice-daily Oral Direct Thrombin Inhibitor Dabigatran Etexilate in the Long Term Prevention of Recurrent Symptomatic VTE,Twice-daily Oral Direct Thrombin Inhibitor Dabigatran Etexilate in the Long-term Prevention of Recurrent Symptomatic Proximal Venous Thromboembolism in Patients With Symptomatic Deep-vein Thrombosis or Pulmonary Embolism.,1353,placebo,dabigatran,plac_stnd,FALSE
NCT00740883,Phase 3,2,"Extended Duration of Oral Anticoagulant Therapy After a First Episode of Idiopathic Pulmonary Embolism: a Randomized Controlled Trial. ""PADIS-PE"" Study.","Eighteen Months of Oral Anticoagulant Therapy Versus Placebo After 6 Six Months of Anticoagulation for a First Episode of Idiopathic Pulmonary Embolism: a Multicentre Double-blind Randomized Controlled Trial. ""PADIS-PE"" Study.",374,placebo,warfarin,plac_stnd,FALSE
NCT00977938,Phase 4,2,The Dual Antiplatelet Therapy Study (DAPT Study),"A Prospective, Multi-center, Randomized, Double-blind Trial to Assess the Effectiveness and Safety of 12 Versus 30 Months of Dual Antiplatelet Therapy in Subjects Undergoing Percutaneous Coronary Intervention With Either Drug-eluting Stent or Bare Metal Stent Placement for the Treatment of Coronary Artery Lesions",25682,placebo,prasugrel,plac_stnd,TRUE
NCT02064439,Phase 3,3,Reduced-dosed Rivaroxaban in the Long-term Prevention of Recurrent Symptomatic VTE(Venous Thromboembolism),Reduced-dosed Rivaroxaban and Standard-dosed Rivaroxaban Versus ASA in the Long-term Prevention of Recurrent Symptomatic Venous Thromboembolism in Patients With Symptomatic Deep-vein Thrombosis and/or Pulmonary Embolism,3365,aminosalicylic acid,rivaroxaban,diff_class,FALSE
NCT00049829,Phase 3,NA,HORIZON-PFT: Pivotal Fracture Trial,HORIZON-PFT: Pivotal Fracture Trial,7700,NA,zoledronic acid,poss_plac_stnd,NA
NCT00046254,Phase 3,NA,Evaluating the Ability of Zoledronic Acid to Reduce the Rate of Subsequent Osteoporotic Fractures After a Hip Fracture,NA,2127,NA,zoledronic acid,poss_plac_stnd,NA
NCT01343004,Phase 3,3,Study to Evaluate the Safety and Efficacy of BA058 (Abaloparatide) for Prevention of Fracture in Postmenopausal Women,"A Randomized, Double-blind, Placebo-Controlled, Comparative Multicenter Phase 3 Study to Evaluate the Safety and Efficacy of BA058 (Abaloparatide) for Injection for Prevention of Fracture in Ambulatory Postmenopausal Women With Severe Osteoporosis and at Risk of Fracture",2463,placebo,abaloparatide,plac_stnd,FALSE
NCT00089791,Phase 3,2,A Study to Evaluate Denosumab in the Treatment of Postmenopausal Osteoporosis,A Study to Evaluate Denosumab in the Treatment of Postmenopausal Osteoporosis FREEDOM (Fracture REduction Evaluation of Denosumab in Osteoporosis Every 6 Months),7808,placebo,denosumab,plac_stnd,FALSE
NCT01358175,Phase 3,3,16 Week Efficacy and 2 Year Long Term Safety and Efficacy of Secukinumab in Patients With Active Ankylosing Spondylitis,"A Randomized, Double-blind, Placebo-controlled, Multicenter Study of Secukinumab to Demonstrate the 16 Week Efficacy and to Assess the Long Term Safety, Tolerability and Efficacy up to 2 Years in Patients With Active Ankylosing Spondylitis",371,placebo,secukinumab,plac_stnd,FALSE
NCT01142726,Phase 3,3,Efficacy and Safety Study of Abatacept Subcutaneous Plus Methotrexate in Inducing Remission in Adults With Very Early Rheumatoid Arthritis,"A Phase 3b, Randomized, Active Controlled Trial to Evaluate the Efficacy and Safety of Abatacept SC in Combination With Methotrexate in Inducing Clinical Remission Compared to Methotrexate Monotherapy in Adults With Very Early RA",511,placebo,abatacept,plac_stnd,FALSE
NCT01087788,Phase 3,7,Certolizumab Pegol in Subjects With Adult Onset Active and Progressive Psoriatic Arthritis,"Phase 3, Multicenter, Randomized, Double-Blind, Parallel Group, Placebo-Controlled Study to Evaluate the Efficacy and Safety of Certolizumab Pegol in Subjects With Adult-Onset Active and Progressive Psoriatic Arthritis (PsA)",409,NA,certolizumab pegol,plac_stnd,FALSE
NCT00111449,Phase 3,NA,Evaluating the Safety of Etanercept 50 mg Twice Weekly in Subjects With Psoriasis,A Phase 3 Multicenter Study to Assess the Efficacy and Safety of Etanercept 50 mg Twice Weekly in Psoriasis,600,NA,etanercept,poss_plac_stnd,NA
NCT01087762,Phase 3,7,Certolizumab Pegol in Subjects With Active Axial Spondyloarthritis,"Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate Efficacy and Safety of Certolizumab Pegol in Subjects With Active Axial Spondyloarthritis",325,NA,certolizumab pegol,plac_stnd,FALSE
NCT01752634,Phase 3,4,"Efficacy at 24 Weeks With Long Term Safety, Tolerability and Efficacy up to 5 Years of Secukinumab in Patients of Active Psoriatic Arthritis","A Phase III Randomized, Double-blind, Placebo-controlled Multicenter Study of Subcutaneous Secukinumab in Prefilled Syringes to Demonstrate the Efficacy at 24 Weeks and to Assess the Long Term Efficacy, Safety and Tolerability up to 5 Years in Patients With Active Psoriatic Arthritis",399,placebo,secukinumab,plac_stnd,FALSE
NCT00092703,Phase 3,NA,Investigational Drug Versus an Approved Drug in Patients With Osteoarthritis (0663-061)(COMPLETED),"A Randomized, Double-Blind, Multicenter Study to Evaluate the Tolerability and Effectiveness of Etoricoxib 90 mg q.d. vs. Diclofenac Sodium 50 mg t.i.d. in Patients With Osteoarthritis",6000,etoricoxib|etoricoxib,diclofenac,undefined,NA
NCT00092742,Phase 3,NA,Investigational Drug Versus an Approved Drug in Patients With Rheumatoid Arthritis (0663-072),"A Randomized, Double-Blind, Multicenter Study to Evaluate the Tolerability and Effectiveness of Etoricoxib 90 mg q.d. vs. Diclofenac Sodium 75 mg b.i.d. in Patients With Rheumatoid Arthritis",4086,etoricoxib|etoricoxib,diclofenac,undefined,NA
NCT00250445,Phase 3,NA,A Study to Evaluate the Safety of an Investigational Drug (Etoricoxib) in Patients With Osteoarthritis (OA) or Rheumatoid Arthritis (RA)(0663-066),"A Randomized, Double-Blind, Active-Comparator-Controlled, Parallel-Group Study to Evaluate the Safety of Etoricoxib in Patients With Osteoarthritis or Rheumatoid Arthritis",23498,etoricoxib|etoricoxib,diclofenac,undefined,NA
NCT00032890,Phase 3,NA,Glucosamine/Chondroitin Arthritis Intervention Trial (GAIT),Glucosamine/Chondroitin Arthritis Intervention Trial (GAIT),1588,glucosamine|glucosamine|glucosamine,celecoxib,undefined,NA
NCT00422227,Phase 4,2,Study Comparing Etanercept With Usual DMARD Therapy in Subjects With Rheumatoid Arthritis in the Asia Pacific Region,"A Randomized, Open-Label Study in the Asia-Pacific Region Comparing the Safety and Efficacy of Etanercept With Usual DMARD Therapy in Subjects With Rheumatoid Arthritis",300,sulfasalazine,leflunomide,diff_class,TRUE
NCT01451203,Phase 3,2,Efficacy Confirmation Study of CDP870 in Early Rheumatoid Arthritis,"A Multicenter, Double-blind, Randomized, Placebo-controlled, Parallel-group Study to Assess the Efficacy and Safety of CDP870 in Patients With Early-stage Rheumatoid Arthritis Who Are Naïve to Methotrexate and Have Poor Prognostic Factors",319,placebo,certolizumab pegol,plac_stnd,FALSE
NCT01208181,Phase 3,4,"A Two-Part, 12-Week Study of Etoricoxib as a Treatment for Rheumatoid Arthritis (RA) (MK-0663-107)","A Phase III, Two-Part, Randomized, Double-Blind, Placebo-Controlled, Multicenter Clinical Trial to Assess the Relative Efficacy and Tolerability of Two Doses of MK‑0663/Etoricoxib in Patients With Rheumatoid Arthritis",1404,NA,etoricoxib,plac_stnd,FALSE
NCT00106574,Phase 3,2,A Study to Assess the Effect of Tocilizumab + DMARD Therapy on Signs and Symptoms in Patients With Moderate to Severe Active Rheumatoid Arthritis,"A Randomized, Double-blind Study of the Effect of Tocilizumab on Reduction in Signs and Symptoms in Patients With Moderate to Severe Active Rheumatoid Arthritis and Inadequate Response to DMARD Therapy",1220,placebo,tocilizumab,plac_stnd,FALSE
NCT00565409,Phase 4,3,Study Comparing Etanercept in Combination With Methotrexate in Subjects With Rheumatoid Arthritis,"A Randomized, Double-Blind Study Comparing the Safety & Efficacy of Once-Weekly Etanercept 50 mg, Etanercept 25 mg, & Placebo in Combination With Methotrexate in Subjects With Active Rheumatoid Arthritis",834,placebo,etanercept,plac_stnd,FALSE
NCT01721044,Phase 3,3,A Moderate to Severe Rheumatoid Arthritis Study,"A Randomized, Double-Blind, Placebo-Controlled, Phase 3 Study Evaluating the Efficacy and Safety of Baricitinib (LY3009104) in Patients With Moderately to Severely Active Rheumatoid Arthritis Who Have Had an Inadequate Response to Tumor Necrosis Factor Inhibitors",527,placebo,baricitinib,plac_stnd,FALSE
NCT01523301,Phase 4,2,Rotigotine Versus Placebo to Evaluate the Efficacy on Depressive Symptoms in Idiopathic Parkinson's Disease Patients,"Double Blind, Placebo-controlled, Parallel, Multicenter, Randomized Interventional Phase IV Study to Evaluate the Efficacy of Rotigotine on Depressive Symptoms in Idiopathic Parkinson's Disease Patients",380,placebo,rotigotine,plac_stnd,FALSE
NCT00542087,Phase 3,NA,Etoricoxib vs. Diclofenac in OA (0663-805)(COMPLETED),"A Randomized, Double-Blind Study to Evaluate the Safety and Efficacy of Etoricoxib 60 mg and Diclofenac Sodium 150 mg in Patient With Osteoarthritis of the Knee or Hip",516,etoricoxib|etoricoxib|duration statement,diclofenac,undefined,NA
NCT02000336,Phase 3,3,Comparison of the Effectiveness of Two Different Dosages of Cortisone Compared to Placebo in Rheumatoid Arthritis,"Comparison of the Efficacy and Safety of Two Different Starting Dosages of Prednisolone in Early Active Rheumatoid Arthritis: a Randomized, Placebo Controlled Trial",386,placebo,prednisolone,plac_stnd,FALSE
NCT00299130,Phase 3,3,A Study to Evaluate the Safety and Efficacy of Rituximab in Combination With Methotrexate Compared to Methotrexate Alone in Patients With Active Rheumatoid Arthritis,"A Randomized, Placebo Controlled, Double-blind, Parallel Group, International Study to Evaluate the Safety and Efficacy of Rituximab in Combination With Methotrexate, Compared to Methotrexate Monotherapy, in Patients With Active Rheumatoid Arthritis",511,placebo,rituximab,plac_stnd,TRUE
NCT01039688,Phase 3,3,"Comparing The Effectiveness And Safety Of 2 Doses Of An Experimental Drug, CP-690,550, To Methotrexate (MTX) In Patients With Rheumatoid Arthritis Who Have Not Previously Received MTX","Phase 3 Randomized, Double-Blind Study Of The Efficacy And Safety Of 2 Doses Of CP-690,550 Compared To Methotrexate In Methotrexate-Naive Patients With Rheumatoid Arthritis",968,antirheumatic,tofacitinib,diff_class,FALSE
NCT00077779,Phase 3,NA,Adalimumab for the Induction and Maintenance of Clinical Remission in Subjects With Crohn's Disease,"A Multi-Center Randomized, Double-Blind, Placebo-Controlled Study of the Human Anti-TNF Monoclonal Antibody Adalimumab for the Induction and Maintenance of Clinical Remission in Subjects With Crohn's Disease",854,NA,adalimumab,poss_plac_stnd,NA
NCT00552058,Phase 3,2,Study to Evaluate Efficacy and Safety of Certolizumab Pegol for Induction of Remission in Patients With Crohn's Disease,"Phase IIIb, Multinational, Randomized, Double-blind, Placebo-controlled Trial to Assess the Efficacy and Safety of Certolizumab Pegol, a Pegylated Fab' Fragment of a Humanized Anti-Tumor Necrosis Factor(TNF)-Alpha Monoclonal Antibody, Administered in Subjects With Moderately to Severely Active Crohn's Disease.",439,placebo,certolizumab pegol,plac_stnd,FALSE
NCT00264537,Phase 3,4,A Study of the Safety and Efficacy of Golimumab in Subjects With Rheumatoid Arthritis That Are Methotrexate-naive,"A Multicenter, Randomized, Double-blind, Placebo-controlledTrial of Golimumab, a Fully Human Anti-TNFa MonoclonalAntibody, Administered Subcutaneously, in Methotrexate-naive Subjects With Active Rheumatoid Arthritis",637,NA,golimumab,plac_stnd,TRUE
NCT00327691,Phase 4,NA,A Study to Determine the Degree of Additional Reduction in CV Risk in Lowering LDL Below Minimum Target Levels,"The Effect Of LDL-Cholesterol, Lowering Beyond Currently Recommended Minimum Targets On Coronary Heart Disesse (CHD) Recurrence In Patients With Pre-Existing CHD",8600,NA,atorvastatin,poss_plac_stnd,NA
NCT01869491,Phase 3,2,Compound Sodium Alginate Double Action Chewable Tablet Symptomatic Relief Study,"A Multi-centre, Randomised, Double-blind, Two Arm, Parallel Group, Placebo-controlled Study to Assess the Effect of Compound Sodium Alginate Double Action Chewable Tablets in Patients With Gastro-esophageal Reflux Disease",1107,placebo,sodium alginate,plac_stnd,FALSE
NCT00385736,Phase 3,3,Efficacy and Safety of Adalimumab in Subjects With Moderately to Severely Acute Ulcerative Colitis,"A Multicenter, Randomized, Double-blind Placebo-controlled Study of the Human Anti-TNF Monoclonal Antibody Adalimumab for the Induction of Clinical Remission in Subjects With Moderately to Severely Active Ulcerative Colitis",576,placebo,adalimumab,plac_stnd,FALSE
NCT00783718,Phase 3,2,Study of Vedolizumab (MLN0002) in Patients With Moderate to Severe Ulcerative Colitis,"A Phase 3, Randomized, Placebo-Controlled, Blinded, Multicenter Study of the Induction and Maintenance of Clinical Response and Remission by MLN0002 in Patients With Moderate to Severe Ulcerative Colitis",895,placebo,vedolizumab,plac_stnd,FALSE
NCT00783692,Phase 3,2,Study of Vedolizumab (MLN0002) in Patients With Moderate to Severe Crohn's Disease,"A Phase 3, Randomized, Placebo-Controlled, Blinded, Multicenter Study of the Induction and Maintenance of Clinical Response and Remission by Vedolizumab (MLN0002) in Patients With Moderate to Severe Crohn's Disease",1116,placebo,vedolizumab,plac_stnd,FALSE
NCT00094458,Phase 3,3,Trial Comparing Infliximab and Infliximab and Azathioprine in the Treatment of Patients With Crohn's Disease na�ve to Both Immunomodulators and Biologic Therapy (Study of Biologic and Immunomodulator Naive Patients in Chrohn's Disease: SONIC,"Multicenter, Randomized, Double-Blind, Active Controlled Trial Comparing REMICADE� (Infliximab) and REMICADE Plus Azathioprine to Azathioprine in the Treatment of Patients With Crohn's Disease Naive to Both Immunomodulators and Biologic Therapy",508,placebo,azathioprine,plac_stnd,FALSE
NCT01928771,Phase 3,3,Efficacy and Safety Study of Benralizumab Added to High-dose Inhaled Corticosteroid Plus LABA in Patients With Uncontrolled Asthma,"A Multicentre, Randomized, Double-blind, Parallel Group, Placebo-controlled, Phase III Efficacy and Safety Study of Benralizumab (MEDI-563) Added to High-dose Inhaled Corticosteroid Plus Long-acting β2 Agonist in Patients With Uncontrolled Asthma",2681,placebo,benralizumab,plac_stnd,FALSE
NCT02149199,Phase 3,3,A Clinical Study to Evaluate Symbicort Turbuhaler Used 'as Needed' in Adults and Adolescents With Asthma.,A Clinical Study Comparing Symbicort® 'as Needed' With Terbutaline 'as Needed' and With Pulmicort® Twice Daily Plus Terbutaline 'as Needed' in Adult and Adolescent Patients With Asthma.,3850,NA,formoterol,plac_stnd,FALSE
NCT01285323,Phase 3,2,A Study to Evaluate the Efficacy and Safety of Reslizumab in Patients With Eosinophilic Asthma,"A 12-Month, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Efficacy and Safety of Reslizumab (3.0 mg/kg) in the Reduction of Clinical Asthma Exacerbations in Patients (12-75 Years of Age) With Eosinophilic Asthma",464,placebo,reslizumab,plac_stnd,FALSE
NCT01706198,Phase 3,2,"An Effectiveness Study Comparing Fluticasone Furoate (FF, GW685698)/Vilanterol (VI, GW642444) With Standard Treatment in Asthma","A 12-month, Open Label, Randomised, Effectiveness Study to Evaluate Fluticasone Furoate (FF, GW685698)/Vilanterol (VI, GW642444) Inhalation Powder Delivered Once Daily Via a Novel Dry Powder Inhaler Compared With Usual Maintenance Therapy in Subjects With Asthma",4232,NA,vilanterol,plac_stnd,TRUE
NCT01475721,Phase 4,6,SAS115359: A 6-month Study to Assess the Safety and Benefit of Inhaled Fluticasone Propionate/Salmeterol Combination Compared With Inhaled Fluticasone Propionate in the Treatment of Adolescents and Adults (12 Years of Age and Older) With Asthma.,"SAS115359, a Safety and Efficacy Study of Inhaled Fluticasone Propionate/Salmeterol Combination Versus Inhaled Fluticasone Propionate in the Treatment of Adolescent and Adult Subjects With Asthma",11751,NA,salmeterol,plac_stnd,TRUE
NCT00148408,Phase 4,NA,Trial of Asthma Patient Education (TAPE),Trial of Asthma Patient Education (TAPE),600,NA,montelukast,poss_plac_stnd,NA
NCT00071331,Phase 3,NA,EVEREST: Efficacy of Vasopressin Antagonism in hEart failuRE: Outcome Study With Tolvaptan,"Protocol 156-03-236: Multicenter, Randomized, Double-blind, Placebo-controlled Study to Evaluate the Long Term Efficacy and Safety of Oral Tolvaptan Tablets in Subjects Hospitalized With Worsening Congestive Heart Failure",3600,NA,tolvaptan,poss_plac_stnd,NA
NCT00125918,Phase 3,5,PHIRST-1: Tadalafil in the Treatment of Pulmonary Arterial Hypertension,"PHIRST-1: Randomized, Double-Blind, Placebo-Controlled Phase 3 Study of the Phosphodiesterase Type 5 (PDE5) Inhibitor Tadalafil in the Treatment in Patients With Pulmonary Arterial Hypertension",406,placebo,tadalafil,plac_stnd,FALSE
NCT00325403,Phase 3,2,FREEDOM - M: Oral Treprostinil as Monotherapy for the Treatment of Pulmonary Arterial Hypertension (PAH),"A 12-Week, International, Multicenter, Double-Blind, Randomized, Placebo-Controlled Comparison of the Efficacy and Safety of Oral UT-15C Sustained Release Tablets in Subjects With Pulmonary Arterial Hypertension",349,placebo,treprostinil,plac_stnd,FALSE
NCT01106014,Phase 3,2,Selexipag (ACT-293987) in Pulmonary Arterial Hypertension,"A Multicenter, Double-blind, Placebo-controlled Phase 3 Study Assessing the Safety and Efficacy of Selexipag on Morbidity and Mortality in Patients With Pulmonary Arterial Hypertension",1156,placebo,selexipag,plac_stnd,FALSE
