id,nct_id,agency_class,lead_or_collaborator,name
2645839,NCT02835534,Other,collaborator,"Chinese Academy of Medical Sciences, Fuwai Hospital"
2645840,NCT02835534,Other,collaborator,Peking University
2648964,NCT02808767,Other,lead,Faculty Hospital Kralovske Vinohrady
2650406,NCT02796677,Industry,lead,AstraZeneca
2652772,NCT02777580,Other,lead,Katholieke Universiteit Leuven
2652773,NCT02777580,Industry,collaborator,Boehringer Ingelheim
2652774,NCT02777580,Other,collaborator,Life Sciences Research Partners
2652775,NCT02777580,Other,collaborator,Fund for Clinical Cardiovascular Research at LRD
2654832,NCT02761252,Industry,lead,Menarini International Operations Luxembourg SA
2656223,NCT02749994,Industry,lead,IlDong Pharmaceutical Co Ltd
2656657,NCT02746380,Industry,lead,LG Life Sciences
2656658,NCT02746380,Industry,collaborator,"Mochida Pharmaceutical Company, Ltd."
2657355,NCT02741245,Industry,lead,Merck Sharp & Dohme Corp.
2657493,NCT02739984,Industry,lead,Amgen
2657639,NCT02738632,Industry,lead,IlDong Pharmaceutical Co Ltd
2662977,NCT02694523,Industry,lead,AbbVie
2662978,NCT02694523,Industry,collaborator,Boehringer Ingelheim
2664256,NCT02684370,Industry,lead,AbbVie
2664257,NCT02684370,Industry,collaborator,Boehringer Ingelheim
2664258,NCT02684357,Industry,lead,AbbVie
2664259,NCT02684357,Industry,collaborator,Boehringer Ingelheim
2664675,NCT02681094,Industry,lead,AstraZeneca
2665345,NCT02675426,Industry,lead,AbbVie
2665667,NCT02672852,Industry,lead,AbbVie
2665668,NCT02672852,Industry,collaborator,Boehringer Ingelheim
2666470,NCT02666664,Industry,lead,Esperion Therapeutics
2667718,NCT02656173,Industry,lead,Astellas Pharma Inc
2667719,NCT02656173,Industry,collaborator,Astellas Pharma Singapore Pte. Ltd.
2668657,NCT02648204,Industry,lead,Novo Nordisk A/S
2670767,NCT02630706,Industry,lead,Merck Sharp & Dohme Corp.
2670768,NCT02630706,Industry,collaborator,Pfizer
2671781,NCT02623062,Industry,lead,Reckitt Benckiser Healthcare (UK) Limited
2672649,NCT02616497,Other,lead,University of Ioannina
2673821,NCT02607306,Industry,lead,Novo Nordisk A/S
2675124,NCT02597049,Industry,lead,Eli Lilly and Company
2676492,NCT02585778,Industry,lead,Sanofi
2676493,NCT02585778,Industry,collaborator,Regeneron Pharmaceuticals
2676602,NCT02584855,Industry,lead,Eli Lilly and Company
2677097,NCT02580591,Industry,lead,Boehringer Ingelheim
2677098,NCT02580591,Industry,collaborator,Eli Lilly and Company
2679342,NCT02561806,Industry,lead,Eli Lilly and Company
2680566,NCT02552212,Industry,lead,UCB BIOSCIENCES GmbH
2680567,NCT02552212,Industry,collaborator,PRA Health Sciences
2680605,NCT02551874,Industry,lead,AstraZeneca
2680646,NCT02551575,Other,lead,Guang'anmen Hospital of China Academy of Chinese Medical Sciences
2680805,NCT02550288,Industry,lead,Merck Sharp & Dohme Corp.
2682949,NCT02532855,Industry,lead,Merck Sharp & Dohme Corp.
2683159,NCT02531035,Industry,lead,Sanofi
2683160,NCT02531035,Industry,collaborator,Lexicon Pharmaceuticals
2683483,NCT02528201,Industry,lead,Pfizer
2685395,NCT02513160,Industry,lead,"Teva Branded Pharmaceutical Products, R&D Inc."
2686559,NCT02504268,Industry,lead,Bristol-Myers Squibb
2686972,NCT02501161,Industry,lead,Novo Nordisk A/S
2687301,NCT02498509,Industry,lead,Chong Kun Dang Pharmaceutical
2687659,NCT02495324,Industry,lead,"Boryung Pharmaceutical Co., Ltd"
2687785,NCT02494284,Other,lead,"CHEOL WHAN LEE, M.D., Ph.D"
2687786,NCT02494284,Other,collaborator,"CardioVascular Research Foundation, Korea"
2687787,NCT02494284,Industry,collaborator,Medtronic
2687788,NCT02494284,Industry,collaborator,Chong Kun Dang Pharmaceutical Corp.
2688328,NCT02489968,Industry,lead,Boehringer Ingelheim
2688329,NCT02489968,Industry,collaborator,Eli Lilly and Company
2689183,NCT02483169,Other,lead,Asan Medical Center
2689184,NCT02483169,Industry,collaborator,"Korea Otsuka Pharmaceutical Co., Ltd."
2689841,NCT02477969,Industry,lead,"Jiangsu Hansoh Pharmaceutical Co., Ltd."
2689851,NCT02477865,Industry,lead,"Jiangsu Hansoh Pharmaceutical Co., Ltd."
2690409,NCT02473198,Other,lead,The New England Baptist Hospital
2690616,NCT02471404,Industry,lead,AstraZeneca
2691023,NCT02467920,Other,lead,Huazhong University of Science and Technology
2691622,NCT02463071,Industry,lead,AstraZeneca
2691892,NCT02460978,Industry,lead,AstraZeneca
2691893,NCT02460978,Industry,collaborator,Bristol-Myers Squibb
2692669,NCT02454491,Other,lead,University Hospital of Ferrara
2692757,NCT02453685,Industry,lead,Novo Nordisk A/S
2692929,NCT02452190,Industry,lead,"Teva Branded Pharmaceutical Products, R&D Inc."
2692930,NCT02452190,Industry,collaborator,PPD
2693588,NCT02446912,Industry,lead,AstraZeneca
2693589,NCT02446912,Industry,collaborator,PRA Health Sciences
2694647,NCT02438787,Industry,lead,"Janssen Research & Development, LLC"
2696812,NCT02421510,Industry,lead,Sanofi
2696813,NCT02421510,Industry,collaborator,Lexicon Pharmaceuticals
2696969,NCT02420262,Industry,lead,Novo Nordisk A/S
2697048,NCT02419612,Industry,lead,AstraZeneca
2697661,NCT02414958,Industry,lead,Boehringer Ingelheim
2697662,NCT02414958,Industry,collaborator,Eli Lilly and Company
2697676,NCT02414854,Industry,lead,Sanofi
2697677,NCT02414854,Industry,collaborator,Regeneron Pharmaceuticals
2697851,NCT02413398,Industry,lead,AstraZeneca
2699887,NCT02396732,Other,lead,University of Miami
2700596,NCT02390882,Industry,lead,Hanmi Pharmaceutical Company Limited
2700655,NCT02390375,Industry,lead,"Daewon Pharmaceutical Co., Ltd."
2700866,NCT02388724,Industry,lead,Takeda
2701384,NCT02384941,Industry,lead,Sanofi
2701385,NCT02384941,Industry,collaborator,Lexicon Pharmaceuticals
2702513,NCT02376790,Industry,lead,Amgen
2702645,NCT02375724,Industry,lead,AstraZeneca
2702646,NCT02375724,Industry,collaborator,Menarini Group
2705535,NCT02352363,Industry,lead,Acorda Therapeutics
2705933,NCT02349295,Industry,lead,Eli Lilly and Company
2706108,NCT02347774,Industry,lead,Sunovion Respiratory Development Inc.
2706297,NCT02346240,Industry,lead,UCB Biopharma S.P.R.L.
2706426,NCT02345161,Industry,lead,GlaxoSmithKline
2706593,NCT02343926,Industry,lead,Sanofi
2706649,NCT02343458,Industry,lead,"Pearl Therapeutics, Inc."
2707407,NCT02337738,Industry,lead,Takeda
2710694,NCT02311231,Other,lead,Uppsala University
2710695,NCT02311231,Other,collaborator,Lund University
2711124,NCT02308163,Industry,lead,Astellas Pharma Inc
2711397,NCT02305849,Industry,lead,Astellas Pharma Inc
2711852,NCT02301975,Industry,lead,GlaxoSmithKline
2712698,NCT02296138,Industry,lead,Boehringer Ingelheim
2712922,NCT02294396,Industry,lead,Astellas Pharma Inc
2712942,NCT02294279,Other,lead,Research in Real-Life Ltd
2712943,NCT02294279,Industry,collaborator,Aerocrine AB
2712950,NCT02294227,Industry,lead,Novartis Pharmaceuticals
2714049,NCT02284893,Industry,lead,AstraZeneca
2714480,NCT02281318,Industry,lead,GlaxoSmithKline
2715100,NCT02276222,Industry,lead,Sunovion Respiratory Development Inc.
2715972,NCT02269176,Industry,lead,Boehringer Ingelheim
2716086,NCT02268214,Industry,lead,AstraZeneca
2716087,NCT02268214,Industry,collaborator,Bristol-Myers Squibb
2717389,NCT02257385,Industry,lead,GlaxoSmithKline
2717742,NCT02254291,Industry,lead,Novo Nordisk A/S
2718669,NCT02246920,Industry,lead,Teva Pharmaceuticals USA
2718824,NCT02245672,Industry,lead,Mylan Inc.
2718825,NCT02245672,Industry,collaborator,Mylan Pharmaceuticals
2718988,NCT02244255,Industry,lead,Boehringer Ingelheim
2718990,NCT02244229,Industry,lead,Boehringer Ingelheim
2719114,NCT02243176,Industry,lead,AstraZeneca
2719205,NCT02242318,Industry,lead,Boehringer Ingelheim
2719452,NCT02240680,Industry,lead,Boehringer Ingelheim
2719453,NCT02240680,Industry,collaborator,Eli Lilly and Company
2719953,NCT02236611,Industry,lead,GlaxoSmithKline
2720859,NCT02229383,Industry,lead,AstraZeneca
2721083,NCT02227550,Other,lead,Atrial Fibrillation Network
2721084,NCT02227550,Industry,collaborator,Bristol-Myers Squibb
2721085,NCT02227550,Industry,collaborator,Pfizer
2721086,NCT02227550,Other,collaborator,Deutsches Zentrum für Herz-Kreislauf-Forschung (DZHK)
2721483,NCT02224157,Industry,lead,AstraZeneca
2723399,NCT02207829,Industry,lead,GlaxoSmithKline
2723453,NCT02207374,Industry,lead,Novo Nordisk A/S
2723466,NCT02207231,Industry,lead,"Janssen Research & Development, LLC"
2723684,NCT02205606,Industry,lead,Hanmi Pharmaceutical Company Limited
2723866,NCT02203916,Industry,lead,Takeda
2723984,NCT02203032,Industry,lead,"Janssen Research & Development, LLC"
2724253,NCT02200653,Industry,lead,Boehringer Ingelheim
2724254,NCT02200640,Industry,lead,Boehringer Ingelheim
2724977,NCT02194205,Industry,lead,Boehringer Ingelheim
2726279,NCT02183701,Industry,lead,Boehringer Ingelheim
2726320,NCT02183220,Industry,lead,Boehringer Ingelheim
2726333,NCT02183064,Industry,lead,Boehringer Ingelheim
2726389,NCT02182479,Industry,lead,Boehringer Ingelheim
2726437,NCT02181998,Industry,lead,Boehringer Ingelheim
2726438,NCT02181985,Industry,lead,Boehringer Ingelheim
2726899,NCT02178137,Other,lead,Indus Hospital
2726975,NCT02177500,Industry,lead,Boehringer Ingelheim
2726979,NCT02177461,Industry,lead,Boehringer Ingelheim
2726981,NCT02177435,Industry,lead,Boehringer Ingelheim
2726983,NCT02177409,Industry,lead,Boehringer Ingelheim
2726984,NCT02177396,Industry,lead,Boehringer Ingelheim
2726989,NCT02177344,Industry,lead,Boehringer Ingelheim
2726997,NCT02177253,Industry,lead,Boehringer Ingelheim
2727184,NCT02175771,Industry,lead,"Teva Branded Pharmaceutical Products, R&D Inc."
2727232,NCT02175355,Industry,lead,Boehringer Ingelheim
2727455,NCT02173782,Industry,lead,Boehringer Ingelheim
2727463,NCT02173691,Industry,lead,Boehringer Ingelheim
2727492,NCT02173457,Industry,lead,"Chipscreen Biosciences, Ltd."
2727598,NCT02172586,Industry,lead,Boehringer Ingelheim
2727599,NCT02172573,Industry,lead,Boehringer Ingelheim
2727621,NCT02172287,Industry,lead,Boehringer Ingelheim
2728014,NCT02168842,Other,lead,University of Rochester
2728015,NCT02168842,NIH,collaborator,National Institute of Neurological Disorders and Stroke (NINDS)
2728016,NCT02168842,Other,collaborator,Michael J. Fox Foundation for Parkinson's Research
2728017,NCT02168842,Other,collaborator,The Parkinson Study Group
2728548,NCT02164513,Industry,lead,GlaxoSmithKline
2729162,NCT02159053,Industry,lead,Novartis Pharmaceuticals
2729320,NCT02157935,Industry,lead,AstraZeneca
2729590,NCT02155660,Industry,lead,AstraZeneca
2729591,NCT02155660,Industry,collaborator,MedImmune LLC
2729949,NCT02152605,Industry,lead,GlaxoSmithKline
2729972,NCT02152371,Industry,lead,Eli Lilly and Company
2730053,NCT02151851,Industry,lead,"UCB Pharma SA, Belgium"
2730054,NCT02151851,Industry,collaborator,Parexel
2730371,NCT02149199,Industry,lead,AstraZeneca
2730838,NCT02145468,Industry,lead,GlaxoSmithKline
2730839,NCT02145468,Other,collaborator,The TIMI Study Group
2731256,NCT02141854,Industry,lead,"Teva Branded Pharmaceutical Products, R&D Inc."
2731524,NCT02139644,Industry,lead,"Teva Branded Pharmaceutical Products, R&D Inc."
2731592,NCT02139046,Industry,lead,Takeda
2731612,NCT02138916,Industry,lead,AstraZeneca
2731613,NCT02138916,Industry,collaborator,MedImmune LLC
2732337,NCT02132936,Industry,lead,LEO Pharma
2732356,NCT02132767,Other,lead,Icahn School of Medicine at Mount Sinai
2732357,NCT02132767,NIH,collaborator,"National Heart, Lung, and Blood Institute (NHLBI)"
2732358,NCT02132767,NIH,collaborator,National Institute of Neurological Disorders and Stroke (NINDS)
2732359,NCT02132767,Other,collaborator,Canadian Institutes of Health Research (CIHR)
2732813,NCT02128932,Industry,lead,Novo Nordisk A/S
2733668,NCT02121613,Industry,lead,Pierre Fabre Medicament
2733958,NCT02119286,Industry,lead,GlaxoSmithKline
2735568,NCT02105974,Industry,lead,GlaxoSmithKline
2735569,NCT02105961,Industry,lead,GlaxoSmithKline
2735570,NCT02105948,Industry,lead,GlaxoSmithKline
2735719,NCT02104804,Industry,lead,AstraZeneca
2735736,NCT02104674,Industry,lead,Hoffmann-La Roche
2736257,NCT02100228,Industry,lead,Pfizer
2736258,NCT02100228,Industry,collaborator,Bristol-Myers Squibb
2736508,NCT02098395,Industry,lead,Novo Nordisk A/S
2736915,NCT02094963,Other,lead,Seung-Jung Park
2736916,NCT02094963,Other,collaborator,"CardioVascular Research Foundation, Korea"
2736918,NCT02094937,Industry,lead,GlaxoSmithKline
2738123,NCT02085161,Industry,lead,Boehringer Ingelheim
2738457,NCT02082769,Other,lead,Xijing Hospital
2738458,NCT02082769,Industry,collaborator,"Qingdao Shengbang Pharmaceutical Co., Ltd."
2738722,NCT02080364,Industry,lead,vTv Therapeutics
2738799,NCT02079727,Industry,lead,IBSA Institut Biochimique SA
2741462,NCT02058160,Industry,lead,Sanofi
2739416,NCT02074982,Industry,lead,Novartis Pharmaceuticals
2741463,NCT02058147,Industry,lead,Sanofi
2739722,NCT02072434,Industry,lead,"Daiichi Sankyo, Inc."
2739723,NCT02072434,Industry,collaborator,Covance
2739724,NCT02072434,Industry,collaborator,"Quintiles, Inc."
2739746,NCT02072330,Industry,lead,Takeda
2739755,NCT02072226,Industry,lead,"Genentech, Inc."
2740201,NCT02068443,Industry,lead,Takeda
2740660,NCT02064868,Industry,lead,Novartis Pharmaceuticals
2740701,NCT02064439,Industry,lead,Bayer
2740702,NCT02064439,Industry,collaborator,"Janssen Scientific Affairs, LLC"
2741436,NCT02058368,Industry,lead,GlaxoSmithKline
2741877,NCT02054897,Industry,lead,Novo Nordisk A/S
2742460,NCT02049814,Industry,lead,Takeda
2742930,NCT02045862,Industry,lead,Astellas Pharma Europe B.V.
2744102,NCT02036515,Industry,lead,Merck Sharp & Dohme Corp.
2744103,NCT02036515,Industry,collaborator,Pfizer
2744441,NCT02033889,Industry,lead,Merck Sharp & Dohme Corp.
2744442,NCT02033889,Industry,collaborator,Pfizer
2744955,NCT02029495,Industry,lead,"Valeant Pharmaceuticals International, Inc."
2745493,NCT02024646,Industry,lead,Amgen
2745697,NCT02022930,Industry,lead,"Carbylan Therapeutics, Inc."
2746116,NCT02019472,Industry,lead,"Janssen Research & Development, LLC"
2746117,NCT02019472,Industry,collaborator,GlaxoSmithKline
2746387,NCT02017340,Other,lead,Prof Brian Lawlor
2746388,NCT02017340,Other,collaborator,"University of Dublin, Trinity College"
2746389,NCT02017340,Other,collaborator,Molecular Medicine Ireland LBG
2746390,NCT02017340,Other,collaborator,Alzheimer Europe
2746391,NCT02017340,Industry,collaborator,"Archer Pharmaceuticals, Inc."
2746392,NCT02017340,Other,collaborator,E-Search Limited
2746393,NCT02017340,Other,collaborator,University College Dublin
2746394,NCT02017340,Other,collaborator,King's College London
2746395,NCT02017340,Other,collaborator,Istituto Di Ricerche Farmacologiche Mario Negri
2746396,NCT02017340,Other,collaborator,"University Hospital, Lille"
2746397,NCT02017340,Other,collaborator,University of Ulm
2746398,NCT02017340,Other,collaborator,Szeged University
2746399,NCT02017340,Other,collaborator,Goeteborgs Universitet
2746400,NCT02017340,Other,collaborator,University College Cork
2746401,NCT02017340,Other,collaborator,Aristotle University Of Thessaloniki
2746402,NCT02017340,Other,collaborator,Stichting Katholieke Universiteit
2746424,NCT02017171,Other,lead,Alessandro Doria
2746425,NCT02017171,NIH,collaborator,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)
2746426,NCT02017171,Other,collaborator,Juvenile Diabetes Research Foundation
2746427,NCT02017171,Other,collaborator,Joslin Diabetes Center
2746428,NCT02017171,Other,collaborator,University of Minnesota - Clinical and Translational Science Institute
2746429,NCT02017171,Other,collaborator,"University of Colorado, Denver"
2746430,NCT02017171,Other,collaborator,University of Michigan
2746431,NCT02017171,Other,collaborator,University of Toronto
2746432,NCT02017171,Other,collaborator,"Feinberg School of Medicine, Northwestern University"
2746433,NCT02017171,Other,collaborator,"Albert Einstein College of Medicine, Inc."
2746434,NCT02017171,Other,collaborator,Steno Diabetes Center
2746435,NCT02017171,Other,collaborator,Washington University School of Medicine
2746436,NCT02017171,Other,collaborator,University of Washington
2746437,NCT02017171,Other,collaborator,Emory University
2746438,NCT02017171,Other,collaborator,University of Calgary
2746439,NCT02017171,Other,collaborator,University of Alberta
2746440,NCT02017171,Other,collaborator,University of Texas Southwestern Medical Center
2746441,NCT02017171,Other,collaborator,BCDiabetes.Ca
2746752,NCT02014467,Industry,lead,GlaxoSmithKline
2747309,NCT02009865,Industry,lead,AstraZeneca
2747466,NCT02008682,Industry,lead,Novo Nordisk A/S
2747608,NCT02007720,Industry,lead,Novartis Pharmaceuticals
2747711,NCT02006732,Industry,lead,Boehringer Ingelheim
2748451,NCT02000336,Other,lead,Prof. Dr. rer. nat. H.J. Trampisch
2748452,NCT02000336,Other,collaborator,Ruhr University of Bochum
2748581,NCT01999218,Industry,lead,Merck Sharp & Dohme Corp.
2748582,NCT01999218,Industry,collaborator,Pfizer
2749094,NCT01994720,Industry,lead,AstraZeneca
2749680,NCT01989468,Industry,lead,Novartis Pharmaceuticals
2749960,NCT01986881,Industry,lead,Merck Sharp & Dohme Corp.
2749961,NCT01986881,Industry,collaborator,Pfizer
2750134,NCT01985334,Industry,lead,Novartis Pharmaceuticals
2751159,NCT01976208,Industry,lead,Shanghai Zhangjiang Biotechnology Limited Company
2751270,NCT01975246,Industry,lead,Boehringer Ingelheim
2751503,NCT01973231,Industry,lead,Novo Nordisk A/S
2751543,NCT01972841,Industry,lead,Astellas Pharma Europe B.V.
2751755,NCT01970878,Industry,lead,"Pearl Therapeutics, Inc."
2751805,NCT01970488,Industry,lead,Amgen
2751806,NCT01970475,Industry,lead,Amgen
2751886,NCT01969708,Industry,lead,The EMMES Corporation
2751887,NCT01969708,NIH,collaborator,National Eye Institute (NEI)
2751888,NCT01969708,Other,collaborator,Milton S. Hershey Medical Center
2751889,NCT01969708,Other,collaborator,"University of Wisconsin, Madison"
2751964,NCT01969136,Industry,lead,FORUM Pharmaceuticals Inc
2751965,NCT01969123,Industry,lead,FORUM Pharmaceuticals Inc
2752298,NCT01966107,Industry,lead,AstraZeneca
2752516,NCT01964352,Industry,lead,Boehringer Ingelheim
2752629,NCT01963208,Industry,lead,Marinus Pharmaceuticals
2753036,NCT01959529,Industry,lead,Novo Nordisk A/S
2753045,NCT01959451,Other,lead,Klinikum der Universitaet Muenchen
2753146,NCT01958671,Industry,lead,Merck Sharp & Dohme Corp.
2753147,NCT01958671,Industry,collaborator,Pfizer
2753308,NCT01957163,Industry,lead,GlaxoSmithKline
2753532,NCT01955161,Industry,lead,H. Lundbeck A/S
2753533,NCT01955161,Industry,collaborator,"Otsuka Pharmaceutical Co., Ltd."
2753671,NCT01954121,Industry,lead,UCB Pharma SA
2753906,NCT01952145,Industry,lead,Novo Nordisk A/S
2754144,NCT01949948,Other,lead,Lars Thomassen
2754145,NCT01949948,Other,collaborator,The Research Council of Norway
2754462,NCT01947491,Industry,lead,"Promius Pharma, LLC"
2754639,NCT01946620,Industry,lead,Mundipharma Research Limited
2755737,NCT01937871,Industry,lead,Eli Lilly and Company
2756533,NCT01930682,Other,lead,RenJi Hospital
2756584,NCT01930188,Industry,lead,Novo Nordisk A/S
2756746,NCT01928771,Industry,lead,AstraZeneca
2756762,NCT01928628,Industry,lead,LG Life Sciences
2756980,NCT01926782,Industry,lead,Regeneron Pharmaceuticals
2756981,NCT01926782,Industry,collaborator,Sanofi
2758106,NCT01917656,Industry,lead,Novo Nordisk A/S
2758136,NCT01917331,Industry,lead,Chiesi Farmaceutici S.p.A.
2758411,NCT01914757,Industry,lead,AstraZeneca
2759155,NCT01908829,Industry,lead,Astellas Pharma Europe Ltd.
2759237,NCT01908140,Industry,lead,AstraZeneca
2759278,NCT01907854,Industry,lead,Novo Nordisk A/S
2760275,NCT01899742,Industry,lead,GlaxoSmithKline
2761445,NCT01890122,Industry,lead,Takeda
2762036,NCT01885208,Industry,lead,Novo Nordisk A/S
2762349,NCT01882439,Industry,lead,Pfizer
2762646,NCT01880216,Industry,lead,Berlin-Chemie AG Menarini Group
2762746,NCT01879410,Industry,lead,GlaxoSmithKline
2762955,NCT01877668,Industry,lead,Pfizer
2763093,NCT01876368,Industry,lead,Novartis Pharmaceuticals
2763807,NCT01870804,Other,lead,Centro Cardiopatici Toscani
2763809,NCT01870778,Industry,lead,Novartis Pharmaceuticals
2763963,NCT01869491,Industry,lead,Reckitt Benckiser Healthcare (UK) Limited
2764140,NCT01868061,Industry,lead,Hoffmann-La Roche
2764248,NCT01867125,Industry,lead,Hoffmann-La Roche
2764962,NCT01860976,Industry,lead,Bristol-Myers Squibb
2764990,NCT01860729,Industry,lead,Merck Sharp & Dohme Corp.
2765600,NCT01855789,Industry,lead,Hoffmann-La Roche
2765720,NCT01854658,Industry,lead,"Pearl Therapeutics, Inc."
2765721,NCT01854645,Industry,lead,"Pearl Therapeutics, Inc."
2766231,NCT01850615,Industry,lead,Novo Nordisk A/S
2766379,NCT01849289,Industry,lead,Novo Nordisk A/S
2766908,NCT01845025,Industry,lead,Novartis Pharmaceuticals
2767623,NCT01838850,Industry,lead,"Daiichi Sankyo Korea Co., Ltd., a Daiichi Sankyo Company"
2767914,NCT01836523,Industry,lead,Novo Nordisk A/S
2769526,NCT01822899,Industry,lead,GlaxoSmithKline
2769534,NCT01822808,Other,lead,University of Cape Town
2769535,NCT01822808,Other,collaborator,"Momentum Research, Inc."
2770116,NCT01817764,Industry,lead,GlaxoSmithKline
2770596,NCT01813435,Industry,lead,ECRI bv
2770597,NCT01813435,Other,collaborator,Biosensors International
2770598,NCT01813435,Industry,collaborator,AstraZeneca
2770599,NCT01813435,Industry,collaborator,The Medicines Company
2771077,NCT01809327,Industry,lead,"Janssen Research & Development, LLC"
2771214,NCT01808118,Industry,lead,AbbVie
2772337,NCT01798706,Industry,lead,Sanofi
2773123,NCT01792518,Industry,lead,Boehringer Ingelheim
2773124,NCT01792518,Industry,collaborator,Eli Lilly and Company
2773743,NCT01787396,Industry,lead,LG Life Sciences
2773761,NCT01787188,Industry,lead,"Iroko Pharmaceuticals, LLC"
2773966,NCT01785472,Industry,lead,Novartis Pharmaceuticals
2774356,NCT01782326,Industry,lead,Novartis Pharmaceuticals
2774853,NCT01778049,Industry,lead,Boehringer Ingelheim
2774854,NCT01778049,Industry,collaborator,Eli Lilly and Company
2774945,NCT01777334,Industry,lead,GlaxoSmithKline
2774951,NCT01777282,Industry,lead,GlaxoSmithKline
2774952,NCT01777269,Industry,lead,GlaxoSmithKline
2775054,NCT01776424,Other,collaborator,"Hamilton Health Sciences Corporation, Population Health Research Institute"
2775055,NCT01776424,Industry,collaborator,"Janssen Research & Development, LLC"
2775299,NCT01774474,Other,lead,Maastricht University Medical Center
2775300,NCT01774474,Other,collaborator,European Society of Cataract and Refractive Surgeons
2775604,NCT01772147,Industry,lead,GlaxoSmithKline
2775923,NCT01769378,Industry,lead,Eli Lilly and Company
2776038,NCT01768559,Industry,lead,Sanofi
2776163,NCT01767519,Industry,lead,Allergan
2776497,NCT01764997,Industry,lead,Sanofi
2776498,NCT01764997,Industry,collaborator,Regeneron Pharmaceuticals
2776624,NCT01763918,Industry,lead,Amgen
2776629,NCT01763866,Industry,lead,Amgen
2777365,NCT01758380,Industry,lead,Novartis Pharmaceuticals
2777390,NCT01758198,Industry,lead,Bristol-Myers Squibb
2777391,NCT01758198,Industry,collaborator,Ono Pharmaceutical Co. Ltd
2778008,NCT01752634,Industry,lead,Novartis Pharmaceuticals
2779431,NCT01741194,Industry,lead,"Accera, Inc."
2780154,NCT01734785,Industry,lead,Boehringer Ingelheim
2780155,NCT01734785,Industry,collaborator,Eli Lilly and Company
2780271,NCT01733758,Industry,lead,GlaxoSmithKline
2780380,NCT01732822,Industry,lead,AstraZeneca
2780384,NCT01732770,Industry,lead,Amgen
2780683,NCT01730534,Industry,lead,AstraZeneca
2780684,NCT01730534,Industry,collaborator,Bristol-Myers Squibb
2780685,NCT01730534,Other,collaborator,The TIMI Study Group
2780686,NCT01730534,Other,collaborator,Hadassah Medical Organization
2780735,NCT01730053,Industry,lead,Regeneron Pharmaceuticals
2780736,NCT01730053,Industry,collaborator,Sanofi
2780737,NCT01730040,Industry,lead,Regeneron Pharmaceuticals
2780738,NCT01730040,Industry,collaborator,Sanofi
2780772,NCT01729754,Industry,lead,Merck Sharp & Dohme Corp.
2780798,NCT01729559,Other,lead,Scripps Health
2781073,NCT01727141,Industry,lead,Novartis Pharmaceuticals
2781675,NCT01722331,Industry,lead,Merck Sharp & Dohme Corp.
2781822,NCT01721057,Industry,lead,Eli Lilly and Company
2781823,NCT01721044,Industry,lead,Eli Lilly and Company
